SubNum,Group,TrialNum,Word,List,Type,NoList,Studied,New,RT
84,young,1,THESAURUS,,semantic,1,0,1!,2.18497801235753
84,young,2,JASMINE,,semantic,1,0,1!,3.48066828061928
84,young,3,SILHOUETTE,,semantic,1,0,1!,4.10275582149734
84,young,4,DACHSHUND,,semantic,1,0,1!,4.61019073632451
84,young,5,BLACKJACK,GAMBLER,semantic,0,1,6^,6.16728226931809
84,young,6,REST,WEST,phonetic,0,1,6^,7.0158739526305
84,young,7,FOIL,,phonetic,1,0,1!,8.05099045954921
84,young,8,FAME,FATE,phonetic,0,0,1!,8.70206456750202
84,young,9,FATE,CRITICAL,phonetic,1,0,1!,9.36324063157008
84,young,10,BECKON,PHANTOM,semantic,0,0,1!,10.3400786620023
84,young,11,WHIRLING,TORNADO,semantic,0,0,1!,11.4071740053605
84,young,12,TEAT,TEAL,phonetic,0,1,6^,12.4241354727819
84,young,13,ROBE,ROLE,phonetic,0,1,6^,13.065579750586
84,young,14,ROLE,CRITICAL,phonetic,1,0,6^,13.7480181614537
84,young,15,GLOOMY,PHANTOM,semantic,0,1,6^,14.4705030322548
84,young,16,PARANORMAL,PHANTOM,semantic,0,1,6^,15.0343210773026
84,young,17,FUN,BUN,phonetic,0,0,1!,15.6407377994565
84,young,18,PYRAMID,CRITICAL,semantic,1,0,1!,16.2519266716536
84,young,19,TEAS,TEAL,phonetic,0,1,6^,16.9244949128861
84,young,20,AMPHIBIANS,DINOSAUR,semantic,0,0,1!,17.6553993633988
84,young,21,ARTIFACTS,DINOSAUR,semantic,0,1,6^,18.3567762691691
84,young,22,WEST,CRITICAL,phonetic,1,0,1!,19.0388387753974
84,young,23,SAW,,phonetic,1,0,1!,19.6357629431586
84,young,24,VEAL,TEAL,phonetic,0,0,1!,20.2318176977951
84,young,25,COIN,,phonetic,1,0,1!,20.8290189829695
84,young,26,DERANGED,LUNATIC,semantic,0,1,6^,21.4959516481431
84,young,27,STAKES,GAMBLER,semantic,0,0,1!,22.1439145999393
84,young,28,RATE,FATE,phonetic,0,1,6^,23.0016049716924
84,young,29,WARMHEARTED,,semantic,1,0,1!,23.8236241740469
84,young,30,NEST,WEST,phonetic,0,1,6^,24.5597074700672
84,young,31,CON,COP,phonetic,0,1,6^,25.2865445382849
