SubNum,TrialNum,Word,List,Type,NoList,Pleasantness,RT
30,98,"FUNNEL","TORNADO","semantic",0,"4",294.364723890321
30,99,"EXERTION","FITNESS","semantic",0,"3",296.006571204634
30,100,"TIP","SIP","phonetic",0,"2",299.52360094781
30,101,"PEAL","TEAL","phonetic",0,"2",302.782225691481
30,102,"WELT","WEST","phonetic",0,"3",305.165748901665
30,103,"WAGER","GAMBLER","semantic",0,"3",308.366100009764
30,104,"DATE","FATE","phonetic",0,"1",311.058063248405
30,105,"HIP","SIP","phonetic",0,"2",313.941687728046
30,106,"WHIRLWIND","TORNADO","semantic",0,"4",317.300264508463
30,107,"TIRE","MIRE","phonetic",0,"4",320.208880393067
30,108,"HIGHCHAIR","INFANT","semantic",0,"2",323.359220619546
30,109,"SIT","SIP","phonetic",0,"2",325.926128129708
30,110,"FADE","FATE","phonetic",0,"3",330.293222422712
30,111,"INVITATION","","semantic",1,"1",333.143531770445
30,112,"ANTIQUITY","","semantic",1,"3",335.277057923609
30,113,"INDUSTRY","","semantic",1,"3",338.344018709613
30,114,"HONEYCOMB","","semantic",1,"2",341.294251720421
30,115,"TORTILLA","","semantic",1,"2",344.911309263436
30,116,"WARMHEARTED","","semantic",1,"1",347.244837891776
30,117,"DACHSHUND","","semantic",1,"4",350.186806940939
30,118,"CANVAS","","semantic",1,"3",353.137120544678
30,119,"SABLE","","semantic",1,"3",356.179032575106
30,120,"THICKET","","semantic",1,"3",359.054363512434
