SubNum,TrialNum,Word,List,Type,NoList,Studied,New,RT
78,1,"OPOSSUM","","semantic",1,0,"1!",1.60389580400079
78,2,"MECHANICAL","","semantic",1,0,"1!",2.36375839168613
78,3,"SILHOUETTE","","semantic",1,0,"1!",3.29972299603105
78,4,"HONEYCOMB","","semantic",1,0,"1!",3.98769253616047
78,5,"BUR","","phonetic",1,0,"1!",4.74768552125897
78,6,"BOOT","BOON","phonetic",0,0,"1!",5.50758010460413
78,7,"LUNATIC","CRITICAL","semantic",1,0,"1!",6.21953039421351
78,8,"TRIANGULAR","PYRAMID","semantic",0,0,"1!",7.23546302704199
78,9,"BECKON","PHANTOM","semantic",0,1,"6^",8.00340874549875
78,10,"MOP","COP","phonetic",0,1,"6^",9.46735189705214
78,11,"BUM","BUN","phonetic",0,1,"6^",10.035309327126
78,12,"MIME","MIRE","phonetic",0,0,"1!",10.7632640888769
78,13,"BOUT","","phonetic",1,0,"1!",11.6192030121747
78,14,"MINE","MIRE","phonetic",0,1,"6^",12.3471843363659
78,15,"GHOST","PHANTOM","semantic",0,0,"1!",13.0431386055134
78,16,"BOOK","","phonetic",1,0,"1!",13.835078354663
78,17,"CAP","CAT","phonetic",0,0,"1!",14.6510187751119
78,18,"ROPE","ROLE","phonetic",0,0,"1!",15.3470047380688
78,19,"WHIRLWIND","TORNADO","semantic",0,0,"6^",16.0989861298731
78,20,"TEAM","TEAL","phonetic",0,1,"6^",17.314901617865
78,21,"BOON","CRITICAL","phonetic",1,0,"1!",18.2988464356022
78,22,"PEST","WEST","phonetic",0,0,"1!",19.3308478337567
78,23,"CAB","CAT","phonetic",0,1,"6^",20.1387769627618
78,24,"YAW","","phonetic",1,0,"1!",20.930732709734
78,25,"NULL","","phonetic",1,0,"1!",21.7706529741263
78,26,"REAL","TEAL","phonetic",0,0,"1!",22.5306094358821
78,27,"MOON","BOON","phonetic",0,1,"6^",23.2185910498374
78,28,"JOY","","phonetic",1,0,"1!",23.9065467050677
78,29,"FAT","CAT","phonetic",0,1,"6^",24.6024816560675
78,30,"GATE","FATE","phonetic",0,1,"6^",25.3064777030959
78,31,"GAMBLER","CRITICAL","semantic",1,0,"1!",25.9704402331554
78,32,"SIRENS","TORNADO","semantic",0,0,"1!",26.6903951736022
78,33,"PHANTOM","CRITICAL","semantic",1,0,"1!",27.9462735466223
78,34,"STOREROOM","","semantic",1,0,"1!",29.0182450740976
78,35,"STAKES","GAMBLER","semantic",0,1,"6^",29.7781973100064
78,36,"TOMBS","PYRAMID","semantic",0,0,"1!",30.7941474498948
78,37,"FOIL","","phonetic",1,0,"1!",31.5541005913401
78,38,"TOY","","phonetic",1,0,"1!",32.9060447353695
78,39,"BISON","","semantic",1,0,"1!",33.4819847815379
78,40,"CRADLE","INFANT","semantic",0,0,"1!",34.4419265132019
78,41,"JASMINE","","semantic",1,0,"1!",35.169903611546
78,42,"SPOOKY","PHANTOM","semantic",0,1,"6^",35.8818695971422
78,43,"INVITATION","","semantic",1,0,"1!",36.5938183775143
78,44,"GUSTS","TORNADO","semantic",0,1,"6^",37.3137757327349
78,45,"TEST","WEST","phonetic",0,0,"1!",38.3937045212515
78,46,"COIN","","phonetic",1,0,"1!",39.2176879269828
78,47,"COP","CRITICAL","phonetic",1,0,"1!",40.0576465257909
78,48,"COB","COP","phonetic",0,1,"6^",41.0495555470407
78,49,"PERK","","phonetic",1,0,"1!",41.9215339565999
78,50,"FIRE","MIRE","phonetic",0,0,"1!",42.8014430647745
78,51,"STEALING","ROBBERY","semantic",0,1,"6^",43.5774030931352
