SubNum,Group,Hostname,TrialNum,Word,List,Type,NoList,Studied,New,RT,Credit,Lab
115,"old","cMAPLab-Behav",1,"CONVENIENCE","","semantic",1,0,"1",19.1242682400043,"n","n"
115,"old","cMAPLab-Behav",2,"CARPORT","","semantic",1,0,"1",23.7655896054348,"n","n"
115,"old","cMAPLab-Behav",3,"PAUPER","","semantic",1,0,"1",25.5600608800887,"n","n"
115,"old","cMAPLab-Behav",4,"JASMINE","","semantic",1,0,"3",29.0235501753632,"n","n"
115,"old","cMAPLab-Behav",5,"TEAT","TEAL","phonetic",0,0,"1",32.1322870770236,"n","n"
115,"old","cMAPLab-Behav",6,"LAWN","","phonetic",1,0,"1",33.6710549105192,"n","n"
115,"old","cMAPLab-Behav",7,"LIP","SIP","phonetic",0,1,"5",36.1168109053979,"n","n"
115,"old","cMAPLab-Behav",8,"TEETHING","INFANT","semantic",0,1,"6",36.9712928113877,"n","n"
115,"old","cMAPLab-Behav",9,"PRICELESS","DIAMOND","semantic",0,0,"3",47.1417928479495,"n","n"
115,"old","cMAPLab-Behav",10,"TIRE","MIRE","phonetic",0,1,"6",49.5175765673048,"n","n"
115,"old","cMAPLab-Behav",11,"BUN","CRITICAL","phonetic",1,0,"6",50.5301438738243,"n","n"
115,"old","cMAPLab-Behav",12,"CASTLE","CRITICAL","semantic",1,0,"1",53.3119862605236,"n","n"
115,"old","cMAPLab-Behav",13,"CANVAS","","semantic",1,0,"6",54.8607589307358,"n","n"
115,"old","cMAPLab-Behav",14,"MAT","CAT","phonetic",0,1,"6",58.5698005746817,"n","n"
115,"old","cMAPLab-Behav",15,"THRONE","CASTLE","semantic",0,0,"6",63.4517482056981,"n","n"
115,"old","cMAPLab-Behav",16,"PUNSTER","COMEDIAN","semantic",0,0,"1",65.1258569541969,"n","n"
115,"old","cMAPLab-Behav",17,"JOY","","phonetic",1,0,"1",67.2911828715005,"n","n"
115,"old","cMAPLab-Behav",18,"ROTE","ROLE","phonetic",0,0,"6",69.0855660505476,"n","n"
115,"old","cMAPLab-Behav",19,"MATE","FATE","phonetic",0,1,"1",70.6594031994464,"n","n"
115,"old","cMAPLab-Behav",20,"HOLE","ROLE","phonetic",0,1,"1",79.586081580841,"n","n"
115,"old","cMAPLab-Behav",21,"REST","WEST","phonetic",0,0,"6",85.6157334449817,"n","n"
115,"old","cMAPLab-Behav",22,"NUN","BUN","phonetic",0,1,"6",88.3374304911122,"n","n"
115,"old","cMAPLab-Behav",23,"LOUD","","phonetic",1,0,"1",91.04467601137,"n","n"
115,"old","cMAPLab-Behav",24,"BOOK","","phonetic",1,0,"1",92.4163170997053,"n","n"
115,"old","cMAPLab-Behav",25,"TEAS","TEAL","phonetic",0,0,"1",97.4885204174789,"n","n"
115,"old","cMAPLab-Behav",26,"FOIL","","phonetic",1,0,"1",99.0674273393233,"n","n"
115,"old","cMAPLab-Behav",27,"GOON","BOON","phonetic",0,0,"1",100.119966951374,"n","n"
115,"old","cMAPLab-Behav",28,"LUNATIC","CRITICAL","semantic",1,0,"6",101.383014400257,"n","n"
115,"old","cMAPLab-Behav",29,"LOTTERY","GAMBLER","semantic",0,0,"6",102.610951051814,"n","n"
115,"old","cMAPLab-Behav",30,"FUR","","phonetic",1,0,"1",103.889081235684,"n","n"
115,"old","cMAPLab-Behav",31,"RUBIES","DIAMOND","semantic",0,1,"6",108.756752249144,"n","n"
115,"old","cMAPLab-Behav",32,"SCHOOLYARD","","semantic",1,0,"1",111.823905038123,"n","n"
