SubNum,Group,TrialNum,Word,List,Type,NoList,Pleasantness,RT
74,young,1,CANVAS,,semantic,1,3,2.49903725966578
74,young,2,PICCOLO,,semantic,1,2,5.38768054588581
74,young,3,TRIPLICATE,,semantic,1,2,8.33794464674429
74,young,4,INFERNO,,semantic,1,5,10.5714228363504
74,young,5,WARMHEARTED,,semantic,1,1,13.5049905838969
74,young,6,OPOSSUM,,semantic,1,2,17.1969571428926
74,young,7,SCHOOLYARD,,semantic,1,1,18.9554208514019
74,young,8,PAUPER,,semantic,1,3,23.2057680506696
74,young,9,INDUSTRY,,semantic,1,4,25.7809709143476
74,young,10,APARTMENT,,semantic,1,1,28.239498825671
74,young,11,SKELETONS,DINOSAUR,semantic,0,2,32.1648071395321
74,young,12,GLITTERING,DIAMOND,semantic,0,1,34.1566246767616
74,young,13,MILE,MIRE,phonetic,0,5,37.3985548783239
74,young,14,SIS,SIP,phonetic,0,1,40.2154428439535
74,young,15,REST,WEST,phonetic,0,1,43.0240031585272
74,young,16,ROULETTE,GAMBLER,semantic,0,1,46.2575879000506
74,young,17,BARBELLS,FITNESS,semantic,0,2,49.8578808725433
74,young,18,PAT,CAT,phonetic,0,4,53.0997983965353
74,young,19,FLUTTER,BUTTERFLY,semantic,0,1,55.2333031184826
74,young,20,RATTLE,INFANT,semantic,0,2,58.6086248494248
74,young,21,COT,COP,phonetic,0,5,61.8088247323612
74,young,22,NEST,WEST,phonetic,0,1,64.3507061252894
74,young,23,CAP,CAT,phonetic,0,4,67.1592703638744
74,young,24,WIRE,MIRE,phonetic,0,4,70.1261782966758
74,young,25,HYPNOTIST,MAGICIAN,semantic,0,3,73.4264343533141
74,young,26,BOP,COP,phonetic,0,1,76.1183010010282
74,young,27,SIN,SIP,phonetic,0,5,79.2018826787971
74,young,28,HOP,COP,phonetic,0,4,82.3521223904245
74,young,29,MONARCH,BUTTERFLY,semantic,0,5,85.3690478454373
74,young,30,HATE,FATE,phonetic,0,5,88.1692717553815
