SubNum,Group,Hostname,TrialNum,Word,List,Type,NoList,Studied,New,RT,Credit,Lab
80,young,cMAPLab-Behav,64,APARTMENT,,semantic,1,0,1!,94.9206216838393,y,y
80,young,cMAPLab-Behav,65,LUNATIC,CRITICAL,semantic,1,0,1!,96.8754943103258,y,y
80,young,cMAPLab-Behav,66,IMPROVISATION,COMEDIAN,semantic,0,0,1!,98.5278389674122,y,y
80,young,cMAPLab-Behav,67,THRONE,CASTLE,semantic,0,0,1!,99.7170242037255,y,y
80,young,cMAPLab-Behav,68,BOUT,,phonetic,1,0,1!,100.674113769528,y,y
80,young,cMAPLab-Behav,69,PRICELESS,DIAMOND,semantic,0,0,1!,102.006549892467,y,y
80,young,cMAPLab-Behav,70,BUTTERFLY,CRITICAL,semantic,1,0,1!,103.529776223411,y,y
80,young,cMAPLab-Behav,71,FATE,CRITICAL,phonetic,1,0,6^,104.362481979884,y,y
80,young,cMAPLab-Behav,72,UNFORMED,,semantic,1,0,1!,105.448724083855,y,y
80,young,cMAPLab-Behav,73,RATE,FATE,phonetic,0,0,6^,106.134018343633,y,y
80,young,cMAPLab-Behav,74,HAT,CAT,phonetic,0,0,6^,106.652061552567,y,y
80,young,cMAPLab-Behav,75,HOLE,ROLE,phonetic,0,1,6^,107.218020842822,y,y
80,young,cMAPLab-Behav,76,TIP,SIP,phonetic,0,1,6^,107.723164834826,y,y
80,young,cMAPLab-Behav,77,TORTILLA,,semantic,1,0,6^,108.35950339533,y,y
80,young,cMAPLab-Behav,78,CON,COP,phonetic,0,0,6^,109.030865662629,y,y
80,young,cMAPLab-Behav,79,LIP,SIP,phonetic,0,1,6^,110.188373983636,y,y
80,young,cMAPLab-Behav,80,STORK,INFANT,semantic,0,0,1!,111.275638599548,y,y
80,young,cMAPLab-Behav,81,GOON,BOON,phonetic,0,0,1!,112.172391835471,y,y
80,young,cMAPLab-Behav,82,PUNSTER,COMEDIAN,semantic,0,0,1!,113.199991960174,y,y
80,young,cMAPLab-Behav,83,SAW,,phonetic,1,0,1!,113.895832077111,y,y
80,young,cMAPLab-Behav,84,MANSION,CASTLE,semantic,0,0,1!,115.243800460066,y,y
80,young,cMAPLab-Behav,85,BARBELLS,FITNESS,semantic,0,0,1!,116.326925848426,y,y
80,young,cMAPLab-Behav,86,PSYCHOPATH,LUNATIC,semantic,0,0,1!,117.609107070385,y,y
80,young,cMAPLab-Behav,87,FAKE,FATE,phonetic,0,0,6^,118.254980095016,y,y
80,young,cMAPLab-Behav,88,NULL,,phonetic,1,0,6^,118.986443484512,y,y
80,young,cMAPLab-Behav,89,MOLE,ROLE,phonetic,0,1,6^,119.54829775924,y,y
80,young,cMAPLab-Behav,90,TRICKSTER,MAGICIAN,semantic,0,1,6^,120.707041134402,y,y
80,young,cMAPLab-Behav,91,FRAGILE,BUTTERFLY,semantic,0,0,1!,121.716827056923,y,y
80,young,cMAPLab-Behav,92,LOON,BOON,phonetic,0,1,1!,122.378238328674,y,y
80,young,cMAPLab-Behav,93,JASMINE,,semantic,1,0,1!,123.169771621893,y,y
80,young,cMAPLab-Behav,94,CAT,CRITICAL,phonetic,1,0,1!,124.017237301886,y,y
80,young,cMAPLab-Behav,95,FUR,,phonetic,1,0,1!,124.91341149926,y,y
80,young,cMAPLab-Behav,96,PAUPER,,semantic,1,0,1!,126.139757838723,y,y
80,young,cMAPLab-Behav,97,SLIGHT,BUTTERFLY,semantic,0,0,1!,126.857195580319,y,y
80,young,cMAPLab-Behav,98,COCOON,BUTTERFLY,semantic,0,1,1!,127.799295146725,y,y
80,young,cMAPLab-Behav,99,PERK,,phonetic,1,0,6^,128.706060104543,y,y
80,young,cMAPLab-Behav,100,BUR,,phonetic,1,0,1!,129.403568913071,y,y
80,young,cMAPLab-Behav,101,WOOD,,phonetic,1,0,1!,130.415505061455,y,y
80,young,cMAPLab-Behav,102,FOIL,,phonetic,1,0,1!,131.317496158631,y,y
80,young,cMAPLab-Behav,103,CARPORT,,semantic,1,0,6^,132.60222318301,y,y
80,young,cMAPLab-Behav,104,BIRD,,phonetic,1,0,1!,133.427974489802,y,y
80,young,cMAPLab-Behav,105,BOON,CRITICAL,phonetic,1,0,6^,134.215389937986,y,y
80,young,cMAPLab-Behav,106,WENT,WEST,phonetic,0,1,6^,134.876793084381,y,y
80,young,cMAPLab-Behav,107,SPELLS,MAGICIAN,semantic,0,0,1!,135.813639394122,y,y
80,young,cMAPLab-Behav,108,STRONGHOLD,CASTLE,semantic,0,1,1!,137.867879568535,y,y
80,young,cMAPLab-Behav,109,BETTOR,GAMBLER,semantic,0,1,1!,139.030497028044,y,y
80,young,cMAPLab-Behav,110,LOTTERY,GAMBLER,semantic,0,0,1!,140.006176126078,y,y
80,young,cMAPLab-Behav,111,MAMMOTH,DINOSAUR,semantic,0,0,6^,141.154440785183,y,y
80,young,cMAPLab-Behav,112,MATE,FATE,phonetic,0,1,6^,141.946672003743,y,y
80,young,cMAPLab-Behav,113,DERANGED,LUNATIC,semantic,0,0,6^,144.569083275921,y,y
80,young,cMAPLab-Behav,114,RAT,CAT,phonetic,0,0,6^,145.534997833951,y,y
80,young,cMAPLab-Behav,115,DINOSAUR,CRITICAL,semantic,1,0,1!,146.54478204587,y,y
80,young,cMAPLab-Behav,116,COMEDIAN,CRITICAL,semantic,1,0,1!,148.023957826835,y,y
80,young,cMAPLab-Behav,117,SABLE,,semantic,1,0,1!,148.83293497705,y,y
80,young,cMAPLab-Behav,118,BABBLE,INFANT,semantic,0,0,6^,149.838162574694,y,y
80,young,cMAPLab-Behav,119,TEAT,TEAL,phonetic,0,0,1!,150.909344116964,y,y
80,young,cMAPLab-Behav,120,DEAL,TEAL,phonetic,0,1,6^,151.709446667513,y,y
80,young,cMAPLab-Behav,121,SIX,SIP,phonetic,0,0,1!,152.468751376499,y,y
80,young,cMAPLab-Behav,122,CLOWN,COMEDIAN,semantic,0,1,1!,153.584869987884,y,y
80,young,cMAPLab-Behav,123,JOKER,COMEDIAN,semantic,0,1,6^,154.550137938614,y,y
80,young,cMAPLab-Behav,124,FOSSILS,DINOSAUR,semantic,0,1,6^,155.168175630859,y,y
80,young,cMAPLab-Behav,125,DIAMOND,CRITICAL,semantic,1,0,1!,156.059772686743,y,y
80,young,cMAPLab-Behav,126,COP,CRITICAL,phonetic,1,0,6^,156.972123613184,y,y
80,young,cMAPLab-Behav,127,TEAS,TEAL,phonetic,0,0,1!,157.918659624121,y,y
80,young,cMAPLab-Behav,128,LOUD,,phonetic,1,0,1!,160.010586911591,y,y
80,young,cMAPLab-Behav,129,SIP,CRITICAL,phonetic,1,0,6^,160.856535715859,y,y
80,young,cMAPLab-Behav,130,SUN,BUN,phonetic,0,0,1!,161.692160185839,y,y
80,young,cMAPLab-Behav,131,DIRE,MIRE,phonetic,0,1,6^,162.313595559963,y,y
80,young,cMAPLab-Behav,132,WAGER,GAMBLER,semantic,0,1,1!,163.308671594054,y,y
80,young,cMAPLab-Behav,133,SWEATING,FITNESS,semantic,0,0,6^,164.106371605044,y,y
80,young,cMAPLab-Behav,134,BAT,CAT,phonetic,0,1,6^,165.16997347285,y,y
80,young,cMAPLab-Behav,135,TEAL,CRITICAL,phonetic,1,0,6^,165.969819005551,y,y
80,young,cMAPLab-Behav,136,ARTIFACTS,DINOSAUR,semantic,0,0,1!,167.075811284752,y,y
80,young,cMAPLab-Behav,137,NUN,BUN,phonetic,0,1,1!,167.816390468701,y,y
80,young,cMAPLab-Behav,138,TOON,BOON,phonetic,0,0,1!,168.457310447198,y,y
80,young,cMAPLab-Behav,139,MADMAN,LUNATIC,semantic,0,1,6^,169.298803990319,y,y
80,young,cMAPLab-Behav,140,COIN,,phonetic,1,0,6^,170.201207342414,y,y
80,young,cMAPLab-Behav,141,BUN,CRITICAL,phonetic,1,0,6^,171.060153723188,y,y
80,young,cMAPLab-Behav,142,WEST,CRITICAL,phonetic,1,0,1!,172.040555791476,y,y
80,young,cMAPLab-Behav,143,WIZARD,MAGICIAN,semantic,0,0,1!,172.900027754506,y,y
80,young,cMAPLab-Behav,144,WEPT,WEST,phonetic,0,1,1!,173.741929703694,y,y
