SubNum,Group,Hostname,TrialNum,Word,List,Type,NoList,Pleasantness,RT,Credit,Lab
52,young,CC8,1,THESAURUS,,semantic,1,4$,2.53166468907148,y,y
52,young,CC8,2,SILHOUETTE,,semantic,1,3#,5.14493824075907,y,y
52,young,CC8,3,CONVENIENCE,,semantic,1,2@,7.86143885692582,y,y
52,young,CC8,4,ATTIC,,semantic,1,4$,10.9778861671221,y,y
52,young,CC8,5,APARTMENT,,semantic,1,3#,13.4277403606102,y,y
52,young,CC8,6,BAGEL,,semantic,1,1!,16.6274956238922,y,y
52,young,CC8,7,CANVAS,,semantic,1,3#,19.7439571209252,y,y
52,young,CC8,8,PAUPER,,semantic,1,5%,22.3604465385433,y,y
52,young,CC8,9,JARGON,,semantic,1,5%,25.4102375253569,y,y
52,young,CC8,10,BIOLOGIST,,semantic,1,4$,28.4433554515708,y,y
52,young,CC8,11,FAT,CAT,phonetic,0,3#,31.8597913822159,y,y
52,young,CC8,12,TONING,FITNESS,semantic,0,3#,34.5262716086581,y,y
52,young,CC8,13,MUMMIES,PYRAMID,semantic,0,2@,37.9093810378108,y,y
52,young,CC8,14,BRILLIANCE,DIAMOND,semantic,0,3#,40.1925502021331,y,y
52,young,CC8,15,EMBALMING,PYRAMID,semantic,0,5%,43.8423042430077,y,y
52,young,CC8,16,HIEROGLYPHICS,PYRAMID,semantic,0,5%,46.4254644426983,y,y
52,young,CC8,17,RUN,BUN,phonetic,0,1!,49.2586143040098,y,y
52,young,CC8,18,BAT,CAT,phonetic,0,1!,51.9917417985853,y,y
52,young,CC8,19,AEROBICS,FITNESS,semantic,0,2@,55.6581969717518,y,y
52,young,CC8,20,POLE,ROLE,phonetic,0,2@,58.4413025977556,y,y
52,young,CC8,21,GHOUL,PHANTOM,semantic,0,3#,61.4911150154658,y,y
52,young,CC8,22,TEST,WEST,phonetic,0,4$,64.4742228146642,y,y
52,young,CC8,23,BOOT,BOON,phonetic,0,4$,67.3240556977689,y,y
52,young,CC8,24,PSYCHOTIC,LUNATIC,semantic,0,5%,70.9237815008964,y,y
52,young,CC8,25,ASYLUM,LUNATIC,semantic,0,5%,73.4736082565505,y,y
52,young,CC8,26,ROTE,ROLE,phonetic,0,3#,76.45676223794,y,y
52,young,CC8,27,GUN,BUN,phonetic,0,3#,79.4065396115184,y,y
52,young,CC8,28,TIRE,MIRE,phonetic,0,4$,82.8229689016007,y,y
52,young,CC8,29,CATACOMBS,PYRAMID,semantic,0,4$,85.3561733064707,y,y
52,young,CC8,30,WAGER,GAMBLER,semantic,0,3#,88.2892936172429,y,y
52,young,CC8,31,FOSSILS,DINOSAUR,semantic,0,2@,91.4224749610294,y,y
52,young,CC8,32,FAKE,FATE,phonetic,0,3#,94.1888646639418,y,y
52,young,CC8,33,STAKES,GAMBLER,semantic,0,3#,97.0886593787,y,y
52,young,CC8,34,POKER,GAMBLER,semantic,0,2@,100.138453685679,y,y
52,young,CC8,35,BRONTOSAURUS,DINOSAUR,semantic,0,4$,103.238238801714,y,y
52,young,CC8,36,HOLE,ROLE,phonetic,0,4$,106.20470372471,y,y
52,young,CC8,37,TRIANGULAR,PYRAMID,semantic,0,5%,109.471152740298,y,y
52,young,CC8,38,HATE,FATE,phonetic,0,4$,112.187622870086,y,y
52,young,CC8,39,BUM,BUN,phonetic,0,1!,115.270760280313,y,y
52,young,CC8,40,AMPHIBIANS,DINOSAUR,semantic,0,4$,118.420537110418,y,y
52,young,CC8,41,CONJURE,MAGICIAN,semantic,0,5%,121.170349739725,y,y
52,young,CC8,42,DIRE,MIRE,phonetic,0,5%,124.070157131879,y,y
52,young,CC8,43,MATE,FATE,phonetic,0,3#,127.08664063341,y,y
52,young,CC8,44,SIN,SIP,phonetic,0,5%,130.503065395635,y,y
52,young,CC8,45,GHOST,PHANTOM,semantic,0,4$,133.119548172923,y,y
52,young,CC8,46,EXERTION,FITNESS,semantic,0,5%,136.10268525104,y,y
52,young,CC8,47,FUN,BUN,phonetic,0,1!,138.902492009336,y,y
52,young,CC8,48,COMIC,COMEDIAN,semantic,0,1!,141.768943620846,y,y
52,young,CC8,49,COD,COP,phonetic,0,3#,145.352063674945,y,y
52,young,CC8,50,EXTINCTION,DINOSAUR,semantic,0,4$,148.218502307078,y,y
52,young,CC8,51,GLACIERS,DINOSAUR,semantic,0,3#,151.38496849779,y,y
52,young,CC8,52,GLOOMY,PHANTOM,semantic,0,4$,154.168098271359,y,y
52,young,CC8,53,FAME,FATE,phonetic,0,2@,157.634526520036,y,y
52,young,CC8,54,RAT,CAT,phonetic,0,3#,160.267677528318,y,y
52,young,CC8,55,CAB,CAT,phonetic,0,3#,163.100821050815,y,y
52,young,CC8,56,PEST,WEST,phonetic,0,5%,166.267270941986,y,y
52,young,CC8,57,SUN,BUN,phonetic,0,2@,169.10041687917,y,y
52,young,CC8,58,HAT,CAT,phonetic,0,1!,172.583502492635,y,y
52,young,CC8,59,VAULT,PYRAMID,semantic,0,1!,175.08333210065,y,y
52,young,CC8,60,REAL,TEAL,phonetic,0,1!,177.93315049517,y,y
52,young,CC8,61,RATTLE,INFANT,semantic,0,3#,181.282911387971,y,y
52,young,CC8,62,CAP,CAT,phonetic,0,3#,184.182709724642,y,y
52,young,CC8,63,BUD,BUN,phonetic,0,1!,187.165841973387,y,y
52,young,CC8,64,COG,COP,phonetic,0,3#,190.048978115898,y,y
52,young,CC8,65,SAT,CAT,phonetic,0,4$,193.232100463938,y,y
52,young,CC8,66,FIRE,MIRE,phonetic,0,1!,196.648593443446,y,y
52,young,CC8,67,ARTIFACTS,DINOSAUR,semantic,0,5%,199.11502531427,y,y
52,young,CC8,68,LOTTERY,GAMBLER,semantic,0,2@,202.531457019039,y,y
52,young,CC8,69,SKELETONS,DINOSAUR,semantic,0,4$,205.097948685521,y,y
52,young,CC8,70,MIME,MIRE,phonetic,0,3#,208.331059729448,y,y
52,young,CC8,71,MOLE,ROLE,phonetic,0,3#,211.064212881029,y,y
52,young,CC8,72,GATE,FATE,phonetic,0,4$,214.047358108917,y,y
52,young,CC8,73,NUN,BUN,phonetic,0,4$,217.047132630134,y,y
52,young,CC8,74,MAT,CAT,phonetic,0,4$,220.180263867602,y,y
52,young,CC8,75,TOMBS,PYRAMID,semantic,0,4$,223.346727341646,y,y
52,young,CC8,76,LATE,FATE,phonetic,0,5%,226.729803567752,y,y
52,young,CC8,77,BECKON,PHANTOM,semantic,0,5%,228.962994298898,y,y
52,young,CC8,78,BICEPS,FITNESS,semantic,0,3#,232.162767673144,y,y
52,young,CC8,79,BETTOR,GAMBLER,semantic,0,5%,235.362562478287,y,y
52,young,CC8,80,HAUNTING,PHANTOM,semantic,0,5%,237.879045526963,y,y
52,young,CC8,81,VANISH,MAGICIAN,semantic,0,4$,241.445484974189,y,y
52,young,CC8,82,ROBE,ROLE,phonetic,0,2@,244.361934940564,y,y
52,young,CC8,83,RATE,FATE,phonetic,0,3#,247.045083398465,y,y
52,young,CC8,84,CRADLE,INFANT,semantic,0,4$,250.328196419403,y,y
52,young,CC8,85,MILE,MIRE,phonetic,0,3#,253.094668526435,y,y
52,young,CC8,86,BLACKJACK,GAMBLER,semantic,0,2@,256.627782679396,y,y
52,young,CC8,87,WIRE,MIRE,phonetic,0,4$,260.077523982385,y,y
52,young,CC8,88,CASINO,GAMBLER,semantic,0,1!,262.244040883146,y,y
52,young,CC8,89,BARBELLS,FITNESS,semantic,0,2@,265.093873766251,y,y
52,young,CC8,90,WORKOUT,FITNESS,semantic,0,1!,268.143649358768,y,y
52,young,CC8,91,LAMPOON,COMEDIAN,semantic,0,4$,271.360111489659,y,y
52,young,CC8,92,PHYSIQUE,FITNESS,semantic,0,2@,274.443205735879,y,y
52,young,CC8,93,RODE,ROLE,phonetic,0,3#,276.993056337349,y,y
52,young,CC8,94,PRECIOUS,DIAMOND,semantic,0,1!,280.509476300329,y,y
52,young,CC8,95,MAMMOTH,DINOSAUR,semantic,0,4$,283.275956858881,y,y
52,young,CC8,96,PARANORMAL,PHANTOM,semantic,0,5%,286.075745204464,y,y
52,young,CC8,97,SWEATING,FITNESS,semantic,0,4$,289.558851041598,y,y
52,young,CC8,98,DOLE,ROLE,phonetic,0,5%,292.72529067006,y,y
52,young,CC8,99,MINE,MIRE,phonetic,0,4$,295.575128684286,y,y
52,young,CC8,100,UNDERWORLD,PYRAMID,semantic,0,4$,298.841539063724,y,y
52,young,CC8,101,SPECTER,PHANTOM,semantic,0,4$,301.574689498637,y,y
52,young,CC8,102,FACE,FATE,phonetic,0,3#,304.274580441648,y,y
52,young,CC8,103,SEAL,TEAL,phonetic,0,3#,307.424306561938,y,y
52,young,CC8,104,NOON,BOON,phonetic,0,3#,309.757473477395,y,y
52,young,CC8,105,ROPE,ROLE,phonetic,0,3#,312.907297395635,y,y
52,young,CC8,106,SPOOKY,PHANTOM,semantic,0,3#,315.557097920915,y,y
52,young,CC8,107,HIRE,MIRE,phonetic,0,3#,318.840191623662,y,y
52,young,CC8,108,SIT,SIP,phonetic,0,3#,321.706663157092,y,y
52,young,CC8,109,JACKPOT,GAMBLER,semantic,0,3#,324.889755320735,y,y
52,young,CC8,110,BUT,BUN,phonetic,0,1!,328.356204094831,y,y
