SubNum,TrialNum,Word,List,Type,NoList,Studied,New,RT
64,1,"SYNOPSIS","","semantic",1,0,"1",2.89871984145429
64,2,"SILHOUETTE","","semantic",1,0,"6",5.72228549247666
64,3,"WARMHEARTED","","semantic",1,0,"1",7.19415964448126
64,4,"DACHSHUND","","semantic",1,0,"1",8.17014508826833
64,5,"SPARKLE","DIAMOND","semantic",0,0,"6",9.10601853515254
64,6,"INFANT","CRITICAL","semantic",1,0,"1",10.0179951457249
64,7,"INFERNO","","semantic",1,0,"1",10.8739328616357
64,8,"TRIBESMAN","","semantic",1,0,"1",11.6898808282276
64,9,"ARTIFACTS","DINOSAUR","semantic",0,1,"6",12.6578389827337
64,10,"NIP","SIP","phonetic",0,1,"6",13.6017774496431
64,11,"BOUT","","phonetic",1,0,"1",15.6097033187107
64,12,"DIAMOND","CRITICAL","semantic",1,0,"6",16.729564505833
64,13,"VAULT","PYRAMID","semantic",0,1,"6",17.8255379119946
64,14,"FATE","CRITICAL","phonetic",1,0,"6",18.7454627282277
64,15,"GAMBLER","CRITICAL","semantic",1,0,"1",19.8734459842381
64,16,"GLITTERING","DIAMOND","semantic",0,1,"6",20.6973998090543
64,17,"UNDERWORLD","PYRAMID","semantic",0,1,"6",21.6653464934207
64,18,"DOLE","ROLE","phonetic",0,0,"1",22.4733378026722
64,19,"NEST","WEST","phonetic",0,1,"6",23.2172457227716
64,20,"CAB","CAT","phonetic",0,0,"6",23.8652535852598
64,21,"BUR","","phonetic",1,0,"1",24.8411342885229
64,22,"GLOOMY","PHANTOM","semantic",0,1,"6",25.7610527659854
64,23,"DERANGED","LUNATIC","semantic",0,1,"6",26.665038308769
64,24,"WIZARD","MAGICIAN","semantic",0,1,"6",27.5609820736863
64,25,"COW","","phonetic",1,0,"1",28.4249455696408
64,26,"PUNSTER","COMEDIAN","semantic",0,1,"6",29.2088861011871
64,27,"PARANORMAL","PHANTOM","semantic",0,1,"6",30.2248314115423
64,28,"LEST","WEST","phonetic",0,0,"1",31.0567787189066
64,29,"NULL","","phonetic",1,0,"1",31.824731681656
64,30,"MAMMOTH","DINOSAUR","semantic",0,1,"6",32.4727160001639
64,31,"TEAL","CRITICAL","phonetic",1,0,"6",33.2966746545135
64,32,"JUGGLING","MAGICIAN","semantic",0,0,"1",34.4246174631844
64,33,"ENCHANTED","MAGICIAN","semantic",0,0,"6",34.9845980122336
64,34,"POLE","ROLE","phonetic",0,0,"1",37.4244635217765
64,35,"NOW","","phonetic",1,0,"1",38.83241577218
64,36,"BICEPS","FITNESS","semantic",0,0,"1",39.7203035724378
