SubNum,Group,TrialNum,Word,List,Type,NoList,Pleasantness,RT
51,young,99,MIKE,MIRE,phonetic,0,5,295.570888353745
51,young,100,STAKES,GAMBLER,semantic,0,4,298.287425191375
51,young,101,COT,COP,phonetic,0,3,302.370464199921
51,young,102,COB,COP,phonetic,0,4,304.55360707338
51,young,103,BUS,BUN,phonetic,0,3,307.753385880729
51,young,104,CHATEAU,CASTLE,semantic,0,4,310.636579072103
51,young,105,TOWERS,CASTLE,semantic,0,2,313.852977513568
51,young,106,CAM,CAT,phonetic,0,4,316.036161136348
51,young,107,COON,BOON,phonetic,0,4,319.519256107043
51,young,108,TONING,FITNESS,semantic,0,,NA
51,young,109,FEUDAL,CASTLE,semantic,0,4,325.168878542958
51,young,110,SLAPSTICK,COMEDIAN,semantic,0,5,328.485313537996
51,young,111,PICCOLO,,semantic,1,5,331.918411663035
51,young,112,STATIONER,,semantic,1,,NA
51,young,113,DACHSHUND,,semantic,1,5,337.334718403639
51,young,114,PAUPER,,semantic,1,,NA
51,young,115,JARGON,,semantic,1,3,343.367621415295
51,young,116,WARMHEARTED,,semantic,1,1,346.950706455391
51,young,117,INVITATION,,semantic,1,2,349.433879604097
51,young,118,GUTTER,,semantic,1,4,352.067050232319
51,young,119,APARTMENT,,semantic,1,2,355.75011990848
51,young,120,HONEYCOMB,,semantic,1,2,358.249951025704
