SubNum,TrialNum,Word,List,Type,NoList,Studied,New,RT
28,91,"MAGICIAN","CRITICAL","semantic",1,0,"1!",100.372803203412
28,92,"LAWN","","phonetic",1,0,"1!",101.380745070404
28,93,"BOOS","BOON","phonetic",0,1,"6^",102.228707112605
28,94,"JASMINE","","semantic",1,0,"1!",103.07670084876
28,95,"RUN","BUN","phonetic",0,0,"1!",104.052598757204
28,96,"SCISSORS","","semantic",1,0,"1!",104.788547001546
28,97,"TEST","WEST","phonetic",0,0,"1!",105.908536171308
28,98,"MIME","MIRE","phonetic",0,0,"1!",106.660447233007
28,99,"BOOT","BOON","phonetic",0,0,"1!",107.764397218358
28,100,"BRONTOSAURUS","DINOSAUR","semantic",0,1,"6^",108.516336049885
28,101,"BUM","BUN","phonetic",0,1,"6^",109.396322430577
28,102,"INVITATION","","semantic",1,0,"1!",110.180242134724
28,103,"INFERNO","","semantic",1,0,"1!",111.092251042835
28,104,"GATE","FATE","phonetic",0,1,"1!",111.940188031876
28,105,"TRIPLICATE","","semantic",1,0,"1!",112.916109786252
28,106,"RIP","SIP","phonetic",0,1,"6^",113.700163208065
28,107,"ASYLUM","LUNATIC","semantic",0,0,"1!",114.308049716405
28,108,"PYRAMID","CRITICAL","semantic",1,0,"1!",115.108020075248
28,109,"LAMPOON","COMEDIAN","semantic",0,0,"1!",115.987948199618
28,110,"HIRE","MIRE","phonetic",0,1,"6^",118.051826333627
28,111,"NOON","BOON","phonetic",0,0,"1!",118.819778390811
28,112,"FITNESS","CRITICAL","semantic",1,0,"1!",119.667730472167
28,113,"WEST","CRITICAL","phonetic",1,0,"1!",120.56369144225
28,114,"MINE","MIRE","phonetic",0,1,"6^",121.235668885987
28,115,"PSYCHOTIC","LUNATIC","semantic",0,0,"1!",122.067629776429
28,116,"PEST","WEST","phonetic",0,0,"1!",122.947630645707
28,117,"GAMBLER","CRITICAL","semantic",1,0,"6^",124.083480910864
28,118,"BICEPS","FITNESS","semantic",0,1,"6^",124.947464932338
28,119,"RAW","","phonetic",1,0,"1!",127.363310452434
28,120,"SIP","CRITICAL","phonetic",1,0,"1!",128.419222270022
28,121,"RANTING","LUNATIC","semantic",0,1,"6^",129.443183097639
28,122,"CATACOMBS","PYRAMID","semantic",0,1,"6^",130.307179796626
28,123,"SKELETONS","DINOSAUR","semantic",0,0,"1!",131.043150377576
28,124,"DOLE","ROLE","phonetic",0,1,"6^",132.595008254051
28,125,"FUN","BUN","phonetic",0,1,"6^",133.283030617167
28,126,"BUT","BUN","phonetic",0,0,"1!",134.258899850305
28,127,"JACKPOT","GAMBLER","semantic",0,1,"6^",134.9468784458
28,128,"THICKET","","semantic",1,0,"1!",135.842836095602
28,129,"TRIBESMAN","","semantic",1,0,"1!",136.722776595736
28,130,"SIN","SIP","phonetic",0,0,"1!",138.03470382432
28,131,"TONING","FITNESS","semantic",0,0,"1!",138.930647891131
28,132,"COMEDIAN","CRITICAL","semantic",1,0,"4$",145.474324234994
28,133,"LOUD","","phonetic",1,0,"1!",146.498227712
28,134,"CAB","CAT","phonetic",0,1,"6^",147.298191430047
28,135,"HALLUCINATION","LUNATIC","semantic",0,1,"6^",148.978127945797
28,136,"MIRE","CRITICAL","phonetic",1,0,"1!",150.43399611651
28,137,"FOIL","","phonetic",1,0,"1!",151.16997092322
28,138,"JARGON","","semantic",1,0,"1!",151.841917578597
28,139,"LUNATIC","CRITICAL","semantic",1,0,"1!",152.417886300129
28,140,"ROPE","ROLE","phonetic",0,0,"1!",153.313852099818
28,141,"BUN","CRITICAL","phonetic",1,0,"1!",154.113823062158
28,142,"POLE","ROLE","phonetic",0,1,"6^",154.817737007164
28,143,"SILHOUETTE","","semantic",1,0,"1!",155.649706952972
28,144,"MONOLOGUE","COMEDIAN","semantic",0,1,"6^",156.769646016299
