SubNum,Group,TrialNum,Word,List,Type,NoList,Studied,New,RT
52,young,1,HOUSECOAT,,semantic,1,0,1!,4.17166518396698
52,young,2,GAZETTE,,semantic,1,0,1!,7.69140605535358
52,young,3,SCISSORS,,semantic,1,0,1!,9.25134947733022
52,young,4,TRIPLICATE,,semantic,1,0,1!,10.6352763050236
52,young,5,SEAL,TEAL,phonetic,0,1,6^,12.9871492134407
52,young,6,COP,CRITICAL,phonetic,1,0,3#,16.482941331109
52,young,7,BOOT,BOON,phonetic,0,1,6^,18.610826185206
52,young,8,BUR,,phonetic,1,0,2@,20.6987723021302
52,young,9,BOON,CRITICAL,phonetic,1,0,2@,21.906630014535
52,young,10,ROPE,ROLE,phonetic,0,1,6^,23.0585502523463
52,young,11,TONING,FITNESS,semantic,0,1,6^,24.3304647912737
52,young,12,GOBLIN,PHANTOM,semantic,0,0,1!,25.6264192415401
52,young,13,HAUNTING,PHANTOM,semantic,0,1,6^,27.0663267076015
52,young,14,GUTTER,,semantic,1,0,3#,28.6422525669914
52,young,15,CASINO,GAMBLER,semantic,0,1,6^,29.6181465515401
52,young,16,UNDERGROWTH,,semantic,1,0,1!,31.4901288850233
52,young,17,RHINESTONES,DIAMOND,semantic,0,0,1!,32.3381368080154
52,young,18,SIP,CRITICAL,phonetic,1,0,1!,33.3699510616716
52,young,19,CONJURE,MAGICIAN,semantic,0,1,6^,34.2979900988285
52,young,20,GLACIERS,DINOSAUR,semantic,0,1,5%,36.5778123959899
52,young,21,RUN,BUN,phonetic,0,1,6^,37.6817032196559
52,young,22,NOON,BOON,phonetic,0,1,6^,38.6176681257784
52,young,23,SIN,SIP,phonetic,0,1,6^,39.2096546008252
52,young,24,AEROBICS,FITNESS,semantic,0,1,6^,39.905607360648
52,young,25,SOLE,ROLE,phonetic,0,0,1!,42.8815149280708
52,young,26,BOOM,BOON,phonetic,0,0,1!,44.0574424779043
52,young,27,ROSE,ROLE,phonetic,0,0,1!,45.0173181053251
52,young,28,COIN,,phonetic,1,0,1!,45.8652816568501
52,young,29,COG,COP,phonetic,0,1,4$,47.5131603293121
52,young,30,JOGGING,FITNESS,semantic,0,0,1!,48.7451868411154
52,young,31,TEST,WEST,phonetic,0,1,6^,49.74507153593
52,young,32,RABBIT,MAGICIAN,semantic,0,0,1!,52.6409102585167
52,young,33,BOOKIE,GAMBLER,semantic,0,0,1!,53.5128092826344
52,young,34,COT,COP,phonetic,0,0,6^,55.2887563314289
52,young,35,HIP,SIP,phonetic,0,0,4$,57.1926389448345
52,young,36,COW,,phonetic,1,0,1!,58.1445884013083
52,young,37,MEAL,TEAL,phonetic,0,0,1!,59.0005203823093
52,young,38,NOW,,phonetic,1,0,1!,60.0884604621679
52,young,39,BOUT,,phonetic,1,0,3#,62.3043569338042
52,young,40,TOP,COP,phonetic,0,0,1!,63.4962844280526
52,young,41,FIRE,MIRE,phonetic,0,1,6^,65.3441915344447
52,young,42,WOOD,,phonetic,1,0,1!,67.4480896021705
52,young,43,FUR,,phonetic,1,0,1!,68.3200000964571
52,young,44,SIS,SIP,phonetic,0,0,1!,69.2079407197889
52,young,45,MIKE,MIRE,phonetic,0,0,1!,70.13588527916
52,young,46,REPTILES,DINOSAUR,semantic,0,0,1!,71.3038655288983
52,young,47,APPARITION,PHANTOM,semantic,0,0,1!,72.6238082747441
52,young,48,YAW,,phonetic,1,0,1!,73.5597336390056
52,young,49,PODIUM,,semantic,1,0,1!,74.5596596868709
52,young,50,PURPLE,,semantic,1,0,1!,75.6075982453767
52,young,51,INFANT,CRITICAL,semantic,1,0,1!,76.4075930537656
52,young,52,SAW,,phonetic,1,0,1!,77.6874681741465
52,young,53,TRIBESMAN,,semantic,1,0,1!,78.6714682294987
52,young,54,TRIANGULAR,PYRAMID,semantic,0,1,6^,80.0073982423637
52,young,55,HIGHCHAIR,INFANT,semantic,0,0,1!,81.6873214768711
52,young,56,CAP,CAT,phonetic,0,1,6^,82.6232217880897
52,young,57,RODE,ROLE,phonetic,0,1,5%,83.8231367280241
52,young,58,FACE,FATE,phonetic,0,1,6^,85.6950614089146
52,young,59,WEST,CRITICAL,phonetic,1,0,1!,87.2549818907864
52,young,60,SLAPSTICK,COMEDIAN,semantic,0,0,1!,88.1349293333478
52,young,61,NULL,,phonetic,1,0,1!,90.3268157765269
52,young,62,CRADLE,INFANT,semantic,0,1,6^,92.0787081236485
52,young,63,WELT,WEST,phonetic,0,0,3#,93.59064054396
52,young,64,TOMBS,PYRAMID,semantic,0,1,6^,94.7825526441447
52,young,65,COON,BOON,phonetic,0,0,1!,96.3024498715531
52,young,66,RATTLE,INFANT,semantic,0,1,6^,97.4223901424557
52,young,67,PHANTOM,CRITICAL,semantic,1,0,1!,98.3583447858691
52,young,68,WARMHEARTED,,semantic,1,0,1!,99.7662248951383
52,young,69,SCHOOLYARD,,semantic,1,0,1!,100.406168341171
52,young,70,GAMBLER,CRITICAL,semantic,1,0,1!,101.214181383373
52,young,71,FITNESS,CRITICAL,semantic,1,0,1!,102.838121866575
52,young,72,DACHSHUND,,semantic,1,0,1!,104.126025483478
52,young,73,POKER,GAMBLER,semantic,0,1,6^,105.333923643222
52,young,74,STATIONER,,semantic,1,0,1!,106.325918992283
52,young,75,BUT,BUN,phonetic,0,1,6^,107.077872916125
52,young,76,MANIAC,LUNATIC,semantic,0,0,1!,108.109755387064
52,young,77,PEST,WEST,phonetic,0,1,6^,109.037712623831
52,young,78,JOY,,phonetic,1,0,1!,110.413703018101
52,young,79,LAWN,,phonetic,1,0,1!,111.277623048052
52,young,80,PERK,,phonetic,1,0,1!,112.093559846515
52,young,81,FOIL,,phonetic,1,0,1!,112.909523810958
52,young,82,ROLE,CRITICAL,phonetic,1,0,6^,113.965456153965
52,young,83,INDUSTRY,,semantic,1,0,1!,114.725397221511
52,young,84,BEST,WEST,phonetic,0,0,1!,115.597350577824
52,young,85,MIRE,CRITICAL,phonetic,1,0,6^,116.685359478695
52,young,86,EGYPTIAN,PYRAMID,semantic,0,0,6^,117.701229025843
52,young,87,SKELETONS,DINOSAUR,semantic,0,1,6^,118.525205489015
52,young,88,VANISH,MAGICIAN,semantic,0,1,1!,119.645119197434
52,young,89,ANTIQUITY,,semantic,1,0,1!,120.357102388283
52,young,90,STROLLER,INFANT,semantic,0,0,1!,121.037132174242
52,young,91,PUN,BUN,phonetic,0,0,1!,122.077011146117
52,young,92,ASYLUM,LUNATIC,semantic,0,1,6^,122.868944556685
52,young,93,CAT,CRITICAL,phonetic,1,0,6^,123.564904259052
52,young,94,OPOSSUM,,semantic,1,0,1!,124.39688839158
52,young,95,CARAT,DIAMOND,semantic,0,0,1!,125.828831050545
52,young,96,MICE,MIRE,phonetic,0,0,1!,126.964753758628
52,young,97,MAGICIAN,CRITICAL,semantic,1,0,1!,127.636770442128
52,young,98,MIME,MIRE,phonetic,0,1,6^,128.452680678107
52,young,99,LOUD,,phonetic,1,0,1!,129.572637248551
52,young,100,GHOST,PHANTOM,semantic,0,1,6^,130.58050033357
52,young,101,PHARAOH,PYRAMID,semantic,0,0,1!,132.084478511475
52,young,102,BISON,,semantic,1,0,1!,132.892400999786
52,young,103,FATE,CRITICAL,phonetic,1,0,1!,134.268334344961
52,young,104,LINGUISTICS,,semantic,1,0,6^,135.548236027826
52,young,105,NUTRITION,FITNESS,semantic,0,0,1!,136.332202517893
52,young,106,REAL,TEAL,phonetic,0,1,6^,137.708100245334
52,young,107,HATE,FATE,phonetic,0,1,6^,138.63604993606
52,young,108,PRECIOUS,DIAMOND,semantic,0,1,6^,139.396025112364
52,young,109,PULL,,phonetic,1,0,1!,140.787974701729
52,young,110,DEMENTED,LUNATIC,semantic,0,0,1!,141.459923469927
52,young,111,DATE,FATE,phonetic,0,0,1!,143.051848368254
52,young,112,SORCERER,MAGICIAN,semantic,0,0,1!,144.123769185739
52,young,113,PAT,CAT,phonetic,0,0,6^,145.195738600101
52,young,114,SWAMPS,DINOSAUR,semantic,0,0,1!,145.955674838275
52,young,115,COD,COP,phonetic,0,1,6^,146.555603783811
52,young,116,PSYCHOTIC,LUNATIC,semantic,0,1,6^,147.363575472962
52,young,117,SIT,SIP,phonetic,0,1,6^,148.243583284784
52,young,118,COMIC,COMEDIAN,semantic,0,1,6^,148.851500883233
52,young,119,MECHANICAL,,semantic,1,0,1!,149.619480106747
52,young,120,TEAL,CRITICAL,phonetic,1,0,1!,150.523384754779
52,young,121,DINOSAUR,CRITICAL,semantic,1,0,1!,151.323420915753
52,young,122,DIAMOND,CRITICAL,semantic,1,0,1!,152.387298446149
52,young,123,UNFORMED,,semantic,1,0,1!,153.315262323711
52,young,124,PROMENADE,,semantic,1,0,1!,154.467229951173
52,young,125,LAMPOON,COMEDIAN,semantic,0,1,6^,155.243186357431
52,young,126,PYRAMID,CRITICAL,semantic,1,0,6^,155.963086060015
52,young,127,FADE,FATE,phonetic,0,0,6^,156.771033601835
52,young,128,BUN,CRITICAL,phonetic,1,0,2@,158.882988238009
52,young,129,CAM,CAT,phonetic,0,0,1!,160.050883366959
52,young,130,BIRD,,phonetic,1,0,1!,160.802885586163
52,young,131,BOOK,,phonetic,1,0,1!,161.802814350463
52,young,132,BRILLIANCE,DIAMOND,semantic,0,1,6^,163.058699062327
52,young,133,PEAL,TEAL,phonetic,0,0,1!,164.090639487607
52,young,134,JASMINE,,semantic,1,0,1!,164.946636365261
52,young,135,TOY,,phonetic,1,0,1!,165.682554123225
52,young,136,HUMORIST,COMEDIAN,semantic,0,0,1!,166.562531146687
52,young,137,RAW,,phonetic,1,0,1!,167.370485932566
52,young,138,SAT,CAT,phonetic,0,1,6^,168.210412535816
52,young,139,COMEDIAN,CRITICAL,semantic,1,0,1!,169.714330947958
52,young,140,HONEYCOMB,,semantic,1,0,1!,170.506286393153
52,young,141,BUS,BUN,phonetic,0,0,1!,171.274251731578
52,young,142,ROULETTE,GAMBLER,semantic,0,0,1!,172.810227383394
52,young,143,LUNATIC,CRITICAL,semantic,1,0,1!,173.490119829774
52,young,144,INVITATION,,semantic,1,0,1!,174.45005854289
