SubNum,Group,Hostname,TrialNum,Word,List,Type,NoList,Studied,New,RT,Credit,Lab
82,young,cMAPLab-fMRI,1,GAZETTE,,semantic,1,0,6,5.2585980634758,y,y
82,young,cMAPLab-fMRI,2,HONEYCOMB,,semantic,1,0,6,7.44636453334533,y,y
82,young,cMAPLab-fMRI,3,THESAURUS,,semantic,1,0,1,9.6901776737941,y,y
82,young,cMAPLab-fMRI,4,TRIBESMAN,,semantic,1,0,1,11.1960252573335,y,y
82,young,cMAPLab-fMRI,5,PSYCHOTIC,LUNATIC,semantic,0,1,6,12.6080413895688,y,y
82,young,cMAPLab-fMRI,6,FATE,CRITICAL,phonetic,1,0,6,14.3577809552808,y,y
82,young,cMAPLab-fMRI,7,CAM,CAT,phonetic,0,0,6,15.8108978859673,y,y
82,young,cMAPLab-fMRI,8,CRADLE,INFANT,semantic,0,1,6,17.0512331265782,y,y
82,young,cMAPLab-fMRI,9,SORCERER,MAGICIAN,semantic,0,0,1,18.5961792086455,y,y
82,young,cMAPLab-fMRI,10,PRECIOUS,DIAMOND,semantic,0,1,1,19.8454440911883,y,y
82,young,cMAPLab-fMRI,11,MANIAC,LUNATIC,semantic,0,0,6,21.3325371407409,y,y
82,young,cMAPLab-fMRI,12,MICE,MIRE,phonetic,0,0,6,22.4532662167767,y,y
82,young,cMAPLab-fMRI,13,SAT,CAT,phonetic,0,1,6,23.3200983422139,y,y
82,young,cMAPLab-fMRI,14,PEST,WEST,phonetic,0,1,1,25.299617687604,y,y
82,young,cMAPLab-fMRI,15,MIRE,CRITICAL,phonetic,1,0,6,26.3371020300547,y,y
82,young,cMAPLab-fMRI,16,SIP,CRITICAL,phonetic,1,0,1,27.5366275801352,y,y
82,young,cMAPLab-fMRI,17,PODIUM,,semantic,1,0,1,28.9586780715035,y,y
82,young,cMAPLab-fMRI,18,COMEDIAN,CRITICAL,semantic,1,0,6,29.9354738784314,y,y
82,young,cMAPLab-fMRI,19,TONING,FITNESS,semantic,0,1,6,31.6472775112052,y,y
82,young,cMAPLab-fMRI,20,TOP,COP,phonetic,0,0,1,33.3841859358508,y,y
82,young,cMAPLab-fMRI,21,DACHSHUND,,semantic,1,0,6,34.6848127042467,y,y
82,young,cMAPLab-fMRI,22,MIME,MIRE,phonetic,0,1,6,36.2918618077092,y,y
82,young,cMAPLab-fMRI,23,GLACIERS,DINOSAUR,semantic,0,1,6,37.2089133137488,y,y
82,young,cMAPLab-fMRI,24,SYNOPSIS,,semantic,1,0,6,38.1319339315669,y,y
82,young,cMAPLab-fMRI,25,REPTILES,DINOSAUR,semantic,0,0,1,39.7770421290043,y,y
82,young,cMAPLab-fMRI,26,CAT,CRITICAL,phonetic,1,0,1,41.058689034704,y,y
82,young,cMAPLab-fMRI,27,ROULETTE,GAMBLER,semantic,0,0,6,42.5469717079395,y,y
82,young,cMAPLab-fMRI,28,HIGHCHAIR,INFANT,semantic,0,0,1,43.9884522529319,y,y
82,young,cMAPLab-fMRI,29,RHINESTONES,DIAMOND,semantic,0,0,6,45.0544091885531,y,y
82,young,cMAPLab-fMRI,30,BOON,CRITICAL,phonetic,1,0,6,46.8057083275926,y,y
82,young,cMAPLab-fMRI,31,PAT,CAT,phonetic,0,0,6,48.3111169166805,y,y
82,young,cMAPLab-fMRI,32,SLAPSTICK,COMEDIAN,semantic,0,0,1,49.4889707889088,y,y
82,young,cMAPLab-fMRI,33,GHOST,PHANTOM,semantic,0,1,6,50.5558010482637,y,y
82,young,cMAPLab-fMRI,34,COD,COP,phonetic,0,1,6,51.5879101577448,y,y
82,young,cMAPLab-fMRI,35,PULL,,phonetic,1,0,1,58.4569946373522,y,y
82,young,cMAPLab-fMRI,36,FIRE,MIRE,phonetic,0,1,6,60.4889983135363,y,y
82,young,cMAPLab-fMRI,37,JOY,,phonetic,1,0,6,61.3771480288415,y,y
82,young,cMAPLab-fMRI,38,APARTMENT,,semantic,1,0,6,62.5881648771756,y,y
82,young,cMAPLab-fMRI,39,BOUT,,phonetic,1,0,6,63.6242683231103,y,y
82,young,cMAPLab-fMRI,40,RODE,ROLE,phonetic,0,1,6,64.5185336371942,y,y
82,young,cMAPLab-fMRI,41,BRILLIANCE,DIAMOND,semantic,0,1,1,65.3967898821284,y,y
82,young,cMAPLab-fMRI,42,BOOKIE,GAMBLER,semantic,0,0,1,66.5059110301372,y,y
82,young,cMAPLab-fMRI,43,BUT,BUN,phonetic,0,1,6,67.5659343094449,y,y
82,young,cMAPLab-fMRI,44,PHARAOH,PYRAMID,semantic,0,0,1,68.82505160867,y,y
82,young,cMAPLab-fMRI,45,SABLE,,semantic,1,0,6,70.2490740762296,y,y
82,young,cMAPLab-fMRI,46,TRIANGULAR,PYRAMID,semantic,0,1,6,71.3213243543869,y,y
82,young,cMAPLab-fMRI,47,REAL,TEAL,phonetic,0,1,6,72.3695624284155,y,y
82,young,cMAPLab-fMRI,48,ROPE,ROLE,phonetic,0,1,6,73.387130137824,y,y
82,young,cMAPLab-fMRI,49,SIS,SIP,phonetic,0,0,1,74.5772236049233,y,y
82,young,cMAPLab-fMRI,50,ROLE,CRITICAL,phonetic,1,0,1,75.8382163109054,y,y
82,young,cMAPLab-fMRI,51,TEAL,CRITICAL,phonetic,1,0,1,79.6536058426864,y,y
82,young,cMAPLab-fMRI,52,NOW,,phonetic,1,0,1,80.9337211662059,y,y
82,young,cMAPLab-fMRI,53,PUN,BUN,phonetic,0,0,6,82.0149999883288,y,y
82,young,cMAPLab-fMRI,54,SIN,SIP,phonetic,0,1,6,82.9924750470527,y,y
82,young,cMAPLab-fMRI,55,CONJURE,MAGICIAN,semantic,0,1,6,83.7980961355788,y,y
82,young,cMAPLab-fMRI,56,BUN,CRITICAL,phonetic,1,0,6,84.6914806616114,y,y
82,young,cMAPLab-fMRI,57,YAW,,phonetic,1,0,6,85.7506544096541,y,y
82,young,cMAPLab-fMRI,58,COT,COP,phonetic,0,0,6,86.5771984128951,y,y
82,young,cMAPLab-fMRI,59,FITNESS,CRITICAL,semantic,1,0,1,87.5475222004752,y,y
82,young,cMAPLab-fMRI,60,TOY,,phonetic,1,0,6,91.9379534273903,y,y
82,young,cMAPLab-fMRI,61,MAGICIAN,CRITICAL,semantic,1,0,6,92.9954141173366,y,y
82,young,cMAPLab-fMRI,62,BEST,WEST,phonetic,0,0,1,94.11685463498,y,y
82,young,cMAPLab-fMRI,63,LOUD,,phonetic,1,0,6,95.3782574112411,y,y
82,young,cMAPLab-fMRI,64,WEST,CRITICAL,phonetic,1,0,1,96.2638785930612,y,y
82,young,cMAPLab-fMRI,65,TORTILLA,,semantic,1,0,1,97.7203567937977,y,y
82,young,cMAPLab-fMRI,66,OPOSSUM,,semantic,1,0,6,98.8178485539102,y,y
82,young,cMAPLab-fMRI,67,ROSE,ROLE,phonetic,0,0,6,99.6935627363127,y,y
82,young,cMAPLab-fMRI,68,COG,COP,phonetic,0,1,6,100.498259184009,y,y
82,young,cMAPLab-fMRI,69,COP,CRITICAL,phonetic,1,0,6,101.324798522066,y,y
82,young,cMAPLab-fMRI,70,BUS,BUN,phonetic,0,0,6,102.036532176979,y,y
82,young,cMAPLab-fMRI,71,FADE,FATE,phonetic,0,0,6,102.882143282011,y,y
82,young,cMAPLab-fMRI,72,PEAL,TEAL,phonetic,0,0,1,104.010790120054,y,y
82,young,cMAPLab-fMRI,73,BOOM,BOON,phonetic,0,0,6,105.516188445719,y,y
82,young,cMAPLab-fMRI,74,COON,BOON,phonetic,0,0,1,109.807488564446,y,y
82,young,cMAPLab-fMRI,75,FOIL,,phonetic,1,0,6,111.79258887771,y,y
82,young,cMAPLab-fMRI,76,MECHANICAL,,semantic,1,0,6,113.185122706185,y,y
82,young,cMAPLab-fMRI,77,WARMHEARTED,,semantic,1,0,6,114.044850678896,y,y
82,young,cMAPLab-fMRI,78,DATE,FATE,phonetic,0,0,6,114.899650343941,y,y
82,young,cMAPLab-fMRI,79,AEROBICS,FITNESS,semantic,0,1,6,115.764275367561,y,y
82,young,cMAPLab-fMRI,80,NUTRITION,FITNESS,semantic,0,0,1,117.017902203603,y,y
82,young,cMAPLab-fMRI,81,EGYPTIAN,PYRAMID,semantic,0,0,6,118.168626124592,y,y
82,young,cMAPLab-fMRI,82,SKELETONS,DINOSAUR,semantic,0,1,6,119.050504423765,y,y
82,young,cMAPLab-fMRI,83,CAP,CAT,phonetic,0,1,6,119.995264831217,y,y
82,young,cMAPLab-fMRI,84,HIP,SIP,phonetic,0,0,6,120.771164921491,y,y
82,young,cMAPLab-fMRI,85,LAMPOON,COMEDIAN,semantic,0,1,6,121.638032035858,y,y
82,young,cMAPLab-fMRI,86,COIN,,phonetic,1,0,6,122.795906761487,y,y
82,young,cMAPLab-fMRI,87,CASINO,GAMBLER,semantic,0,1,6,123.701811726889,y,y
82,young,cMAPLab-fMRI,88,HUMORIST,COMEDIAN,semantic,0,0,1,124.77875565362,y,y
82,young,cMAPLab-fMRI,89,DINOSAUR,CRITICAL,semantic,1,0,1,126.548453372583,y,y
82,young,cMAPLab-fMRI,90,PERK,,phonetic,1,0,6,127.554358571229,y,y
82,young,cMAPLab-fMRI,91,FUR,,phonetic,1,0,1,131.927010755593,y,y
82,young,cMAPLab-fMRI,92,BOOK,,phonetic,1,0,6,132.801864210283,y,y
82,young,cMAPLab-fMRI,93,SCHOOLYARD,,semantic,1,0,1,135.013670408924,y,y
82,young,cMAPLab-fMRI,94,BOOT,BOON,phonetic,0,1,6,136.36049562988,y,y
82,young,cMAPLab-fMRI,95,NOON,BOON,phonetic,0,1,6,137.590378510256,y,y
82,young,cMAPLab-fMRI,96,PYRAMID,CRITICAL,semantic,1,0,6,139.54913029178,y,y
82,young,cMAPLab-fMRI,97,SEAL,TEAL,phonetic,0,1,6,140.673081148663,y,y
82,young,cMAPLab-fMRI,98,CARAT,DIAMOND,semantic,0,0,1,141.816111703331,y,y
82,young,cMAPLab-fMRI,99,JARGON,,semantic,1,0,6,142.952086623263,y,y
82,young,cMAPLab-fMRI,100,CANVAS,,semantic,1,0,6,143.453309136545,y,y
82,young,cMAPLab-fMRI,101,RUN,BUN,phonetic,0,1,6,144.703078326216,y,y
82,young,cMAPLab-fMRI,102,HAUNTING,PHANTOM,semantic,0,1,6,146.798966660208,y,y
82,young,cMAPLab-fMRI,103,COW,,phonetic,1,0,1,148.067957836,y,y
82,young,cMAPLab-fMRI,104,POKER,GAMBLER,semantic,0,1,6,149.227908105066,y,y
82,young,cMAPLab-fMRI,105,SOLE,ROLE,phonetic,0,0,6,150.355795450028,y,y
82,young,cMAPLab-fMRI,106,TOMBS,PYRAMID,semantic,0,1,6,151.630835512362,y,y
82,young,cMAPLab-fMRI,107,INFANT,CRITICAL,semantic,1,0,1,152.930851140758,y,y
82,young,cMAPLab-fMRI,108,NULL,,phonetic,1,0,1,154.555793583961,y,y
82,young,cMAPLab-fMRI,109,BIOLOGIST,,semantic,1,0,6,156.703829888473,y,y
82,young,cMAPLab-fMRI,110,LINGUISTICS,,semantic,1,0,6,158.888282206724,y,y
82,young,cMAPLab-fMRI,111,GAMBLER,CRITICAL,semantic,1,0,1,160.515449012964,y,y
82,young,cMAPLab-fMRI,112,TRIPLICATE,,semantic,1,0,6,162.103813560301,y,y
82,young,cMAPLab-fMRI,113,INDUSTRY,,semantic,1,0,6,163.101070428049,y,y
82,young,cMAPLab-fMRI,114,BAGEL,,semantic,1,0,6,164.138425078199,y,y
82,young,cMAPLab-fMRI,115,UNDERGROWTH,,semantic,1,0,1,169.441427361802,y,y
82,young,cMAPLab-fMRI,116,MEAL,TEAL,phonetic,0,0,6,171.519959319528,y,y
82,young,cMAPLab-fMRI,117,TEST,WEST,phonetic,0,1,6,172.598393308246,y,y
82,young,cMAPLab-fMRI,118,ASYLUM,LUNATIC,semantic,0,1,1,173.909875042853,y,y
82,young,cMAPLab-fMRI,119,HATE,FATE,phonetic,0,1,6,177.050478765217,y,y
82,young,cMAPLab-fMRI,120,DEMENTED,LUNATIC,semantic,0,0,1,178.503981973699,y,y
82,young,cMAPLab-fMRI,121,SIT,SIP,phonetic,0,1,6,179.421365174814,y,y
82,young,cMAPLab-fMRI,122,FACE,FATE,phonetic,0,1,6,181.253063280979,y,y
82,young,cMAPLab-fMRI,123,JOGGING,FITNESS,semantic,0,0,1,182.697773537628,y,y
82,young,cMAPLab-fMRI,124,RATTLE,INFANT,semantic,0,1,1,184.436142167018,y,y
82,young,cMAPLab-fMRI,125,WOOD,,phonetic,1,0,1,185.830490288237,y,y
82,young,cMAPLab-fMRI,126,DIAMOND,CRITICAL,semantic,1,0,6,186.870749019727,y,y
82,young,cMAPLab-fMRI,127,PHANTOM,CRITICAL,semantic,1,0,6,189.129327955918,y,y
82,young,cMAPLab-fMRI,128,BUR,,phonetic,1,0,6,190.064611494556,y,y
82,young,cMAPLab-fMRI,129,COMIC,COMEDIAN,semantic,0,1,6,190.879961372222,y,y
82,young,cMAPLab-fMRI,130,CARPORT,,semantic,1,0,6,192.259374817761,y,y
82,young,cMAPLab-fMRI,131,SAW,,phonetic,1,0,6,193.589923187625,y,y
82,young,cMAPLab-fMRI,132,RABBIT,MAGICIAN,semantic,0,0,1,194.943571250289,y,y
82,young,cMAPLab-fMRI,133,STROLLER,INFANT,semantic,0,0,1,199.959340062094,y,y
82,young,cMAPLab-fMRI,134,LUNATIC,CRITICAL,semantic,1,0,6,201.067860800031,y,y
82,young,cMAPLab-fMRI,135,WELT,WEST,phonetic,0,0,1,202.941669251959,y,y
82,young,cMAPLab-fMRI,136,BIRD,,phonetic,1,0,6,203.908946669864,y,y
82,young,cMAPLab-fMRI,137,RAW,,phonetic,1,0,6,204.84451431864,y,y
82,young,cMAPLab-fMRI,138,VANISH,MAGICIAN,semantic,0,1,1,206.463201673861,y,y
82,young,cMAPLab-fMRI,139,GOBLIN,PHANTOM,semantic,0,0,6,207.926059523161,y,y
82,young,cMAPLab-fMRI,140,APPARITION,PHANTOM,semantic,0,0,1,209.462993139838,y,y
82,young,cMAPLab-fMRI,141,MIKE,MIRE,phonetic,0,0,6,210.410300275005,y,y
82,young,cMAPLab-fMRI,142,BISON,,semantic,1,0,1,212.914748767798,y,y
82,young,cMAPLab-fMRI,143,LAWN,,phonetic,1,0,6,214.844642611381,y,y
82,young,cMAPLab-fMRI,144,SWAMPS,DINOSAUR,semantic,0,0,6,215.731185168421,y,y
