SubNum,TrialNum,Word,List,Type,NoList,Pleasantness,RT
41,1,"JARGON","","semantic",1,,
41,2,"HOUSECOAT","","semantic",1,"3",4.23374438332394
41,3,"STOREROOM","","semantic",1,"3",8.17232622718439
41,4,"PURPLE","","semantic",1,"1",10.0725009341259
41,5,"OPOSSUM","","semantic",1,"3",14.4477820256725
41,6,"PODIUM","","semantic",1,"3",17.8646251196042
41,7,"WARMHEARTED","","semantic",1,"1",19.1314113766421
41,8,"TRIPLICATE","","semantic",1,"4",23.7067448077723
41,9,"SCISSORS","","semantic",1,"4",25.0901880422607
41,10,"DACHSHUND","","semantic",1,"5",28.873759499751
41,11,"BOOTY","ROBBERY","semantic",0,,
41,12,"PUN","BUN","phonetic",0,,
41,13,"BECKON","PHANTOM","semantic",0,"2",38.1993747013621
41,14,"BABBLE","INFANT","semantic",0,"4",40.5662247077562
41,15,"CAM","CAT","phonetic",0,"3",43.8997904602438
41,16,"MANIAC","LUNATIC","semantic",0,"4",46.7666640102398
41,17,"SORCERER","MAGICIAN","semantic",0,"4",50.1168740026187
41,18,"MICE","MIRE","phonetic",0,"4",52.7254147173371
41,19,"PSYCHOPATH","LUNATIC","semantic",0,"5",55.3339554320555
41,20,"HIGHCHAIR","INFANT","semantic",0,"3",58.8507919460535
41,21,"VANISH","MAGICIAN","semantic",0,"3",61.6510354126804
41,22,"ROSE","ROLE","phonetic",0,"1",64.4178286120296
41,23,"JUGGLING","MAGICIAN","semantic",0,"1",67.5264218475204
41,24,"STEALING","ROBBERY","semantic",0,"4",70.7766049155034
41,25,"BEST","WEST","phonetic",0,"1",73.3101535837632
41,26,"SWAMPS","DINOSAUR","semantic",0,"5",76.6770518850535
41,27,"DIP","SIP","phonetic",0,"2",80.2355955878738
41,28,"WALLET","ROBBERY","semantic",0,"1",82.8108010375872
41,29,"SPOOKY","PHANTOM","semantic",0,"4",85.4609438998159
41,30,"SPELLS","MAGICIAN","semantic",0,"4",88.5611950939056
41,31,"RATTLE","INFANT","semantic",0,"4",91.5114754759707
41,32,"PEAL","TEAL","phonetic",0,"4",94.8699266943149
41,33,"BOOM","BOON","phonetic",0,"4",97.2618064470589
41,34,"COON","BOON","phonetic",0,"3",100.845321037341
41,35,"PAT","CAT","phonetic",0,"2",103.820565062575
41,36,"SOLE","ROLE","phonetic",0,"2",107.429135357961
41,37,"TEAT","TEAL","phonetic",0,"3",109.845998373581
41,38,"RHINESTONES","DIAMOND","semantic",0,"1",113.012844938785
41,39,"CAP","CAT","phonetic",0,"2",116.288085523061
41,40,"HAT","CAT","phonetic",0,"2",118.396566472715
41,41,"DATE","FATE","phonetic",0,"2",121.746800310677
41,42,"SIX","SIP","phonetic",0,"3",125.113703139592
41,43,"HALLUCINATION","LUNATIC","semantic",0,"4",127.630549010588
41,44,"FADE","FATE","phonetic",0,"3",131.214133628411
41,45,"FACE","FATE","phonetic",0,"2",134.097718729172
41,46,"CONJURE","MAGICIAN","semantic",0,"4",136.714567376999
41,47,"DERANGED","LUNATIC","semantic",0,"4",139.881403075997
41,48,"ROULETTE","GAMBLER","semantic",0,"3",144.073350924766
41,49,"RIP","SIP","phonetic",0,"3",145.4901638343
41,50,"SIN","SIP","phonetic",0,"5",148.790377720492
41,51,"MUGGING","ROBBERY","semantic",0,"5",151.248915024335
41,52,"MEAL","TEAL","phonetic",0,"1",154.732524936786
41,53,"LULLABY","INFANT","semantic",0,"1",157.574287544237
41,54,"GATE","FATE","phonetic",0,"3",160.791148929857
41,55,"WELT","WEST","phonetic",0,"4",164.32479630108
41,56,"TOON","BOON","phonetic",0,"4",166.633292765589
41,57,"RANTING","LUNATIC","semantic",0,"5",169.700176095357
41,58,"CAB","CAT","phonetic",0,"2",172.975401587319
41,59,"GOON","BOON","phonetic",0,"5",176.117256136145
41,60,"ENCHANTED","MAGICIAN","semantic",0,"2",179.609159191372
41,61,"CRADLE","INFANT","semantic",0,"1",182.109377725981
41,62,"NIP","SIP","phonetic",0,"3",185.4012387041
41,63,"GHOST","PHANTOM","semantic",0,"5",188.826466097729
41,64,"VEAL","TEAL","phonetic",0,"5",190.801628323505
41,65,"TEAS","TEAL","phonetic",0,"3",194.810215159785
41,66,"BUS","BUN","phonetic",0,"3",196.218686329899
41,67,"STICKUP","ROBBERY","semantic",0,"3",199.943907867651
41,68,"BOOT","BOON","phonetic",0,"2",203.185835221317
41,69,"PHARAOH","PYRAMID","semantic",0,"4",206.319404777139
41,70,"FAKE","FATE","phonetic",0,"5",208.902913028607
41,71,"SIS","SIP","phonetic",0,"1",211.811417703284
41,72,"EGYPTIAN","PYRAMID","semantic",0,"3",215.553329360904
41,73,"NOON","BOON","phonetic",0,"2",218.078530856408
41,74,"TOP","COP","phonetic",0,"1",220.9870774874
41,75,"RAT","CAT","phonetic",0,"4",224.253940110561
41,76,"TEAM","TEAL","phonetic",0,"2",226.979132671375
41,77,"PACIFIER","INFANT","semantic",0,"3",230.021023381269
41,78,"HATE","FATE","phonetic",0,"5",232.846217511687
41,79,"REPTILES","DINOSAUR","semantic",0,"5",235.579743662616
41,80,"BOOKIE","GAMBLER","semantic",0,"3",239.780058002099
41,81,"REAL","TEAL","phonetic",0,"3",241.796919568907
41,82,"BOOS","BOON","phonetic",0,"3",244.60534117627
41,83,"JOGGING","FITNESS","semantic",0,"2",248.030646747444
41,84,"COT","COP","phonetic",0,"2",250.739143755054
41,85,"WIZARD","MAGICIAN","semantic",0,"3",254.131018074928
41,86,"HAUNTING","PHANTOM","semantic",0,"5",257.106250931742
41,87,"PARANORMAL","PHANTOM","semantic",0,"5",259.74819784495
41,88,"FAME","FATE","phonetic",0,"1",263.098358032992
41,89,"PSYCHOTIC","LUNATIC","semantic",0,"5",266.523564599454
41,90,"HOLDUP","ROBBERY","semantic",0,"4",270.057163071819
41,91,"APPARITION","PHANTOM","semantic",0,"4",272.990695380373
41,92,"MIKE","MIRE","phonetic",0,"3",275.340861907229
41,93,"ASYLUM","LUNATIC","semantic",0,"4",278.074419751531
41,94,"BANDIT","ROBBERY","semantic",0,"4",281.449659792474
41,95,"RABBIT","MAGICIAN","semantic",0,"2",284.274834604934
41,96,"GLOOMY","PHANTOM","semantic",0,"5",286.900034047896
41,97,"SEAL","TEAL","phonetic",0,"2",290.491970064351
41,98,"MOON","BOON","phonetic",0,"1",293.050446154317
41,99,"RATE","FATE","phonetic",0,"3",296.434023105307
41,100,"STROLLER","INFANT","semantic",0,"2",298.98418582906
41,101,"GOBLIN","PHANTOM","semantic",0,"4",301.97604904091
41,102,"SIT","SIP","phonetic",0,"3",305.176314180018
41,103,"ASSAILANT","ROBBERY","semantic",0,"3",308.684890451841
41,104,"HIP","SIP","phonetic",0,"3",311.193403638667
41,105,"NUTRITION","FITNESS","semantic",0,"2",314.268619048875
41,106,"FAT","CAT","phonetic",0,"3",317.61049696058
41,107,"CARAT","DIAMOND","semantic",0,"2",320.594067633385
41,108,"SAT","CAT","phonetic",0,"2",323.052537324373
41,109,"STORK","INFANT","semantic",0,"3",326.352812484605
41,110,"DEMENTED","LUNATIC","semantic",0,"4",329.161324644927
41,111,"MECHANICAL","","semantic",1,"3",332.136508603347
41,112,"THICKET","","semantic",1,"3",335.111714294413
41,113,"TORTILLA","","semantic",1,"2",338.411968627479
41,114,"MONOXIDE","","semantic",1,"3",341.162162561901
41,115,"GAZETTE","","semantic",1,"3",344.520695881452
41,116,"INDUSTRY","","semantic",1,"3",347.112567001488
41,117,"CARPORT","","semantic",1,"3",349.771117103519
41,118,"MOORING","","semantic",1,"3",353.179680637782
41,119,"APARTMENT","","semantic",1,"1",356.296535020694
41,120,"SYNOPSIS","","semantic",1,"2",360.180142759578
