word,list,class,super
gun,bun,phonetic,0
nun,bun,phonetic,0
pun,bun,phonetic,0
bus,bun,phonetic,0
but,bun,phonetic,0
run,bun,phonetic,0
fun,bun,phonetic,0
bum,bun,phonetic,0
sun,bun,phonetic,0
bud,bun,phonetic,0
wept,west,phonetic,0
went,west,phonetic,0
welt,west,phonetic,0
best,west,phonetic,0
test,west,phonetic,0
pest,west,phonetic,0
vest,west,phonetic,0
lest,west,phonetic,0
nest,west,phonetic,0
rest,west,phonetic,0
bat,cat,phonetic,0
mat,cat,phonetic,0
pat,cat,phonetic,0
cam,cat,phonetic,0
cap,cat,phonetic,0
sat,cat,phonetic,0
fat,cat,phonetic,0
cab,cat,phonetic,0
hat,cat,phonetic,0
rat,cat,phonetic,0
loon,boon,phonetic,0
soon,boon,phonetic,0
coon,boon,phonetic,0
boom,boon,phonetic,0
boot,boon,phonetic,0
noon,boon,phonetic,0
moon,boon,phonetic,0
boos,boon,phonetic,0
goon,boon,phonetic,0
toon,boon,phonetic,0
tip,sip,phonetic,0
lip,sip,phonetic,0
hip,sip,phonetic,0
sis,sip,phonetic,0
sin,sip,phonetic,0
sit,sip,phonetic,0
dip,sip,phonetic,0
rip,sip,phonetic,0
six,sip,phonetic,0
nip,sip,phonetic,0
mole,role,phonetic,0
hole,role,phonetic,0
sole,role,phonetic,0
rose,role,phonetic,0
rope,role,phonetic,0
rode,role,phonetic,0
pole,role,phonetic,0
dole,role,phonetic,0
robe,role,phonetic,0
rote,role,phonetic,0
raw,,phonetic,1
pull,,phonetic,1
fur,,phonetic,1
now,,phonetic,1
toy,,phonetic,1
saw,,phonetic,1
wood,,phonetic,1
bird,,phonetic,1
loud,,phonetic,1
coin,,phonetic,1
yaw,,phonetic,1
book,,phonetic,1
perk,,phonetic,1
bout,,phonetic,1
foil,,phonetic,1
lawn,,phonetic,1
null,,phonetic,1
bur,,phonetic,1
cow,,phonetic,1
joy,,phonetic,1
