SubNum,Group,Hostname,TrialNum,Word,List,Type,NoList,Pleasantness,RT,Credit,Lab
43,young,CC8,1,INVITATION,,semantic,1,NA,NA,y,y
43,young,CC8,2,PODIUM,,semantic,1,NA,NA,y,y
43,young,CC8,3,STOREROOM,,semantic,1,NA,NA,y,y
43,young,CC8,4,PICCOLO,,semantic,1,NA,NA,y,y
43,young,CC8,5,SILHOUETTE,,semantic,1,3,14.1272995750187,y,y
43,young,CC8,6,OPOSSUM,,semantic,1,NA,NA,y,y
43,young,CC8,7,CANVAS,,semantic,1,NA,NA,y,y
43,young,CC8,8,PAUPER,,semantic,1,NA,NA,y,y
43,young,CC8,9,TORTILLA,,semantic,1,3,25.7898361851694,y,y
43,young,CC8,10,TRIBESMAN,,semantic,1,NA,NA,y,y
43,young,CC8,11,BUD,BUN,phonetic,0,NA,NA,y,y
43,young,CC8,12,HOP,COP,phonetic,0,NA,NA,y,y
43,young,CC8,13,BUFFOON,COMEDIAN,semantic,0,NA,NA,y,y
43,young,CC8,14,TOWERS,CASTLE,semantic,0,NA,NA,y,y
43,young,CC8,15,THRONE,CASTLE,semantic,0,NA,NA,y,y
43,young,CC8,16,JACKPOT,GAMBLER,semantic,0,3,47.1217096912442,y,y
43,young,CC8,17,FLUTTER,BUTTERFLY,semantic,0,2,49.0382378357463,y,y
43,young,CC8,18,MINE,MIRE,phonetic,0,1,53.337941513746,y,y
43,young,CC8,19,LEST,WEST,phonetic,0,3,56.4210937143071,y,y
43,young,CC8,20,CAM,CAT,phonetic,0,5,59.9708208608208,y,y
43,young,CC8,21,BICEPS,FITNESS,semantic,0,NA,NA,y,y
43,young,CC8,22,BUS,BUN,phonetic,0,1,65.2371554768179,y,y
43,young,CC8,23,TIRE,MIRE,phonetic,0,3,67.8869481539587,y,y
43,young,CC8,24,PAT,CAT,phonetic,0,3,71.153411356383,y,y
43,young,CC8,25,SATELLITE,ASTRONAUT,semantic,0,3,73.4032763558207,y,y
43,young,CC8,26,PACIFIER,INFANT,semantic,0,3,76.5696809700457,y,y
43,young,CC8,27,STAKES,GAMBLER,semantic,0,3,80.6027581468225,y,y
43,young,CC8,28,RAT,CAT,phonetic,0,5,83.7192015331239,y,y
43,young,CC8,29,HAT,CAT,phonetic,0,3,86.7023307632189,y,y
43,young,CC8,30,COB,COP,phonetic,0,3,88.1522296298062,y,y
43,young,CC8,31,FRAGILE,BUTTERFLY,semantic,0,3,91.5853289621882,y,y
43,young,CC8,32,MILE,MIRE,phonetic,0,3,94.8184357802384,y,y
43,young,CC8,33,PSYCHOPATH,LUNATIC,semantic,0,5,98.2848555772798,y,y
43,young,CC8,34,PHYSIQUE,FITNESS,semantic,0,5,100.734686830314,y,y
43,young,CC8,35,BRONTOSAURUS,DINOSAUR,semantic,0,3,104.167794916197,y,y
43,young,CC8,36,BOOKIE,GAMBLER,semantic,0,3,106.867628206732,y,y
43,young,CC8,37,RANTING,LUNATIC,semantic,0,3,109.484094080515,y,y
43,young,CC8,38,WINGS,BUTTERFLY,semantic,0,NA,NA,y,y
43,young,CC8,39,CATERPILLAR,BUTTERFLY,semantic,0,3,116.53368313238,y,y
43,young,CC8,40,SPACEMAN,ASTRONAUT,semantic,0,3,119.383397390018,y,y
43,young,CC8,41,MONARCH,BUTTERFLY,semantic,0,3,121.799951644265,y,y
43,young,CC8,42,COSMONAUT,ASTRONAUT,semantic,0,3,124.966358069447,y,y
43,young,CC8,43,BOOS,BOON,phonetic,0,3,127.999475995544,y,y
43,young,CC8,44,SIX,SIP,phonetic,0,3,130.949288685108,y,y
43,young,CC8,45,TOP,COP,phonetic,0,3,133.399111486389,y,y
43,young,CC8,46,INSANITY,LUNATIC,semantic,0,1,136.565561075578,y,y
43,young,CC8,47,ROCKET,ASTRONAUT,semantic,0,3,139.582034012536,y,y
43,young,CC8,48,MAT,CAT,phonetic,0,3,142.531887451303,y,y
43,young,CC8,49,BUM,BUN,phonetic,0,3,145.014997514314,y,y
43,young,CC8,50,LIP,SIP,phonetic,0,3,148.948100317852,y,y
43,young,CC8,51,COT,COP,phonetic,0,3,151.414538225625,y,y
43,young,CC8,52,SIS,SIP,phonetic,0,1,154.997649526107,y,y
43,young,CC8,53,ATMOSPHERES,ASTRONAUT,semantic,0,1,158.464085320942,y,y
43,young,CC8,54,DOLE,ROLE,phonetic,0,3,160.047320680111,y,y
43,young,CC8,55,ROULETTE,GAMBLER,semantic,0,3,163.530377316405,y,y
43,young,CC8,56,PUN,BUN,phonetic,0,3,166.730186006404,y,y
43,young,CC8,57,MANSION,CASTLE,semantic,0,1,170.129925332381,y,y
43,young,CC8,58,GATE,FATE,phonetic,0,5,172.979729540064,y,y
43,young,CC8,59,FUN,BUN,phonetic,0,1,175.312901888858,y,y
43,young,CC8,60,LOTTERY,GAMBLER,semantic,0,1,178.845997931086,y,y
43,young,CC8,61,MOON,BOON,phonetic,0,1,181.412479032995,y,y
43,young,CC8,62,CHATEAU,CASTLE,semantic,0,3,185.57886704558,y,y
43,young,CC8,63,MEDIEVAL,CASTLE,semantic,0,3,187.762045537005,y,y
43,young,CC8,64,BLACKJACK,GAMBLER,semantic,0,3,191.01182390668,y,y
43,young,CC8,65,HIRE,MIRE,phonetic,0,1,193.595044475398,y,y
43,young,CC8,66,FAME,FATE,phonetic,0,1,196.378122331458,y,y
43,young,CC8,67,LULLABY,INFANT,semantic,0,1,199.411255048006,y,y
43,young,CC8,68,VEST,WEST,phonetic,0,3,202.594401543727,y,y
43,young,CC8,69,BOP,COP,phonetic,0,3,205.810809342307,y,y
43,young,CC8,70,BAT,CAT,phonetic,0,3,208.343974809162,y,y
43,young,CC8,71,CAMOUFLAGE,BUTTERFLY,semantic,0,3,212.077058234136,y,y
43,young,CC8,72,SPARKLE,DIAMOND,semantic,0,1,214.343573354068,y,y
43,young,CC8,73,SUN,BUN,phonetic,0,1,217.176734383684,y,y
43,young,CC8,74,AMPHIBIANS,DINOSAUR,semantic,0,NA,NA,y,y
43,young,CC8,75,WIRE,MIRE,phonetic,0,3,222.909646662185,y,y
43,young,CC8,76,BETTOR,GAMBLER,semantic,0,3,226.076079347986,y,y
43,young,CC8,77,STRONGHOLD,CASTLE,semantic,0,3,228.925886574085,y,y
43,young,CC8,78,NUN,BUN,phonetic,0,3,231.925704561058,y,y
43,young,CC8,79,POP,COP,phonetic,0,3,234.775484922924,y,y
43,young,CC8,80,FORTRESS,CASTLE,semantic,0,3,239.108522346709,y,y
43,young,CC8,81,MIKE,MIRE,phonetic,0,3,241.175044348696,y,y
43,young,CC8,82,HALLUCINATION,LUNATIC,semantic,0,3,245.45809277473,y,y
43,young,CC8,83,FEUDAL,CASTLE,semantic,0,3,247.691269319272,y,y
43,young,CC8,84,GUN,BUN,phonetic,0,5,250.974369964562,y,y
43,young,CC8,85,MONOLOGUE,COMEDIAN,semantic,0,3,253.907514121034,y,y
43,young,CC8,86,DERANGED,LUNATIC,semantic,0,3,256.990630703862,y,y
43,young,CC8,87,DIRE,MIRE,phonetic,0,5,260.723700244096,y,y
43,young,CC8,88,DIP,SIP,phonetic,0,3,262.006979883998,y,y
43,young,CC8,89,FAT,CAT,phonetic,0,5,265.540052080411,y,y
43,young,CC8,90,DEMENTED,LUNATIC,semantic,0,3,269.006476706942,y,y
43,young,CC8,91,VOYAGER,ASTRONAUT,semantic,0,3,272.306236830074,y,y
