SubNum,Group,Hostname,TrialNum,Word,List,Type,NoList,Pleasantness,RT,Credit,Lab
77,young,CC8,1,THESAURUS,,semantic,1,3,2.12657953135204,y,y
77,young,CC8,2,CONVENIENCE,,semantic,1,2,5.82323466637172,y,y
77,young,CC8,3,THICKET,,semantic,1,1,7.58981463231612,y,y
77,young,CC8,4,INVITATION,,semantic,1,1,9.73968684510328,y,y
77,young,CC8,5,STOREROOM,,semantic,1,4,14.0227218874497,y,y
77,young,CC8,6,TORTILLA,,semantic,1,2,16.8059067972936,y,y
77,young,CC8,7,MOORING,,semantic,1,5,19.8890151283704,y,y
77,young,CC8,8,CANVAS,,semantic,1,4,22.8221697476693,y,y
77,young,CC8,9,PODIUM,,semantic,1,3,25.5886513112346,y,y
77,young,CC8,10,DACHSHUND,,semantic,1,2,28.705143092433,y,y
77,young,CC8,11,HATE,FATE,phonetic,0,5,31.3549843658693,y,y
77,young,CC8,12,LEST,WEST,phonetic,0,5,35.0880921384087,y,y
77,young,CC8,13,HAUNTING,PHANTOM,semantic,0,5,36.9879423917737,y,y
77,young,CC8,14,EXERTION,FITNESS,semantic,0,4,40.454393680091,y,y
77,young,CC8,15,CASINO,GAMBLER,semantic,0,4,43.1708934903145,y,y
77,young,CC8,16,PHYSIQUE,FITNESS,semantic,0,4,47.1706492955564,y,y
77,young,CC8,17,RUBIES,DIAMOND,semantic,0,5,49.3205236212816,y,y
77,young,CC8,18,PRECIOUS,DIAMOND,semantic,0,4,52.4036425169325,y,y
77,young,CC8,19,SKELETONS,DINOSAUR,semantic,0,4,55.6201125952648,y,y
77,young,CC8,20,WENT,WEST,phonetic,0,4,58.2199512878433,y,y
77,young,CC8,21,PACIFIER,INFANT,semantic,0,3,61.5030735642649,y,y
77,young,CC8,22,RODE,ROLE,phonetic,0,3,63.8529244061792,y,y
77,young,CC8,23,RUN,BUN,phonetic,0,3,66.5194210319314,y,y
77,young,CC8,24,PSYCHOPATH,LUNATIC,semantic,0,4,69.935879398603,y,y
77,young,CC8,25,SPOOKY,PHANTOM,semantic,0,1,73.2690238758223,y,y
77,young,CC8,26,ASYLUM,LUNATIC,semantic,0,5,75.9688616930507,y,y
77,young,CC8,27,SIT,SIP,phonetic,0,3,79.6685941654723,y,y
77,young,CC8,28,BOOS,BOON,phonetic,0,3,82.5350996052148,y,y
77,young,CC8,29,BECKON,PHANTOM,semantic,0,2,84.8182692717528,y,y
77,young,CC8,30,BOOTY,ROBBERY,semantic,0,1,87.8347860759823,y,y
77,young,CC8,31,SPARKLE,DIAMOND,semantic,0,1,90.6345873998944,y,y
77,young,CC8,32,TONING,FITNESS,semantic,0,2,95.9509615207789,y,y
77,young,CC8,33,SWEATING,FITNESS,semantic,0,2,97.7508087254828,y,y
77,young,CC8,34,HOP,COP,phonetic,0,3,99.9173423276516,y,y
77,young,CC8,35,FAT,CAT,phonetic,0,5,103.267210374936,y,y
77,young,CC8,36,MINE,MIRE,phonetic,0,1,105.883640730055,y,y
