SubNum,TrialNum,Word,List,Type,NoList,Studied,New,RT
30,1,"SYNOPSIS","","semantic",1,0,"1",5.06691309437156
30,2,"JARGON","","semantic",1,0,"2",8.22628668975085
30,3,"PURPLE","","semantic",1,0,"1",9.81821397854947
30,4,"MECHANICAL","","semantic",1,0,"1",12.6900724703446
30,5,"COP","CRITICAL","phonetic",1,0,"2",13.9620325034484
30,6,"TEAT","TEAL","phonetic",0,0,"3",16.2098650170956
30,7,"WOOD","","phonetic",1,0,"1",17.3218284428585
30,8,"GAZETTE","","semantic",1,0,"2",18.6257395623252
30,9,"VAULT","PYRAMID","semantic",0,0,"1",19.9056955168489
30,10,"PSYCHOPATH","LUNATIC","semantic",0,0,"6",21.8576158508658
30,11,"LOTTERY","GAMBLER","semantic",0,0,"1",23.2094982732087
30,12,"FOSSILS","DINOSAUR","semantic",0,1,"6",24.8814309588633
30,13,"BOP","COP","phonetic",0,0,"1",26.3693415422458
30,14,"BOON","CRITICAL","phonetic",1,0,"1",27.4493092084304
30,15,"FOIL","","phonetic",1,0,"3",29.0652001136914
30,16,"PYRAMID","CRITICAL","semantic",1,0,"2",30.2811180646531
30,17,"RATE","FATE","phonetic",0,0,"6",31.8570755452383
30,18,"HOUSECOAT","","semantic",1,0,"1",33.5209468088578
30,19,"LIP","SIP","phonetic",0,1,"6",34.6488906072918
30,20,"SCHOOLYARD","","semantic",1,0,"2",35.8648064450827
30,21,"MATE","FATE","phonetic",0,1,"6",37.1607343207579
30,22,"TEETHING","INFANT","semantic",0,1,"6",38.6007297446486
30,23,"WORKOUT","FITNESS","semantic",0,1,"6",39.4806547900662
30,24,"UNDERWORLD","PYRAMID","semantic",0,0,"1",40.7126210292336
30,25,"GHOUL","PHANTOM","semantic",0,1,"5",42.528483923059
30,26,"GUN","BUN","phonetic",0,1,"6",43.7044925969094
30,27,"BIRD","","phonetic",1,0,"3",45.528377673123
30,28,"LOON","BOON","phonetic",0,1,"5",47.2642233979423
30,29,"PULL","","phonetic",1,0,"2",49.7201140739489
30,30,"CAT","CRITICAL","phonetic",1,0,"1",51.0400279026944
30,31,"LOUD","","phonetic",1,0,"3",53.7759023029357
30,32,"NUN","BUN","phonetic",0,1,"6",54.887823772151
