SubNum,Group,TrialNum,Word,List,Type,NoList,Studied,New,RT
37,young,1,THICKET,,semantic,1,0,1,3.26637375447899
37,young,2,PROMENADE,,semantic,1,0,1,5.72990628541447
37,young,3,STATIONER,,semantic,1,0,3,8.3777543141041
37,young,4,UNDERGROWTH,,semantic,1,0,1,10.7856758001726
37,young,5,MIME,MIRE,phonetic,0,1,6,12.6575288586318
37,young,6,FLUTTER,BUTTERFLY,semantic,0,0,2,15.0734686027281
37,young,7,BISON,,semantic,1,0,3,17.0493060692679
37,young,8,PRECIOUS,DIAMOND,semantic,0,1,6,18.7852384240832
37,young,9,BOUT,,phonetic,1,0,1,20.4411566285416
37,young,10,CASTLE,CRITICAL,semantic,1,0,6,22.8250082477462
37,young,11,STOREROOM,,semantic,1,0,3,25.4728783112951
37,young,12,FADE,FATE,phonetic,0,0,6,28.1687091127969
37,young,13,AEROBICS,FITNESS,semantic,0,1,6,29.3926878820639
37,young,14,ASYLUM,LUNATIC,semantic,0,1,6,30.1285972967744
37,young,15,SLAPSTICK,COMEDIAN,semantic,0,0,2,31.7285799707752
37,young,16,PSYCHOTIC,LUNATIC,semantic,0,1,6,32.5605527297594
37,young,17,INFANT,CRITICAL,semantic,1,0,2,34.5843856465071
37,young,18,COIN,,phonetic,1,0,1,36.656297625741
37,young,19,CARAT,DIAMOND,semantic,0,0,1,39.0081528816372
37,young,20,MANIAC,LUNATIC,semantic,0,0,6,40.5680822979193
37,young,21,CRADLE,INFANT,semantic,0,1,6,41.8240230199881
37,young,22,BUTTERFLY,CRITICAL,semantic,1,0,4,45.5278606093489
37,young,23,MIKE,MIRE,phonetic,0,0,1,47.6557129484136
37,young,24,RATTLE,INFANT,semantic,0,1,6,48.967658021953
37,young,25,STROLLER,INFANT,semantic,0,0,2,53.4473870480433
37,young,26,HONEYCOMB,,semantic,1,0,2,56.2232229448855
37,young,27,SHUTTLE,ASTRONAUT,semantic,0,0,6,57.5911720679142
37,young,28,GLACIERS,DINOSAUR,semantic,0,1,6,58.4151310964953
37,young,29,LUNATIC,CRITICAL,semantic,1,0,6,59.4470788624603
37,young,30,WEST,CRITICAL,phonetic,1,0,2,61.0070236728061
37,young,31,COMIC,COMEDIAN,semantic,0,1,6,62.1029493750539
37,young,32,MEDIEVAL,CASTLE,semantic,0,0,4,64.8547996203415
37,young,33,COURTYARD,CASTLE,semantic,0,1,6,68.2785919087473
37,young,34,CAP,CAT,phonetic,0,1,6,69.0785489862319
37,young,35,HUMORIST,COMEDIAN,semantic,0,0,3,70.7104640319012
37,young,36,SIP,CRITICAL,phonetic,1,0,3,72.6623919124249
37,young,37,HATE,FATE,phonetic,0,1,6,73.9663175204769
37,young,38,NOW,,phonetic,1,0,1,76.0142184928991
37,young,39,SIS,SIP,phonetic,0,0,1,76.9661825948861
37,young,40,JOGGING,FITNESS,semantic,0,0,4,80.7740064032841
37,young,41,BUS,BUN,phonetic,0,0,4,82.7738470281474
37,young,42,TOY,,phonetic,1,0,2,84.1257756329142
37,young,43,ROPE,ROLE,phonetic,0,1,6,85.1257149616722
37,young,44,BOOM,BOON,phonetic,0,0,2,87.4375906104688
37,young,45,MONOXIDE,,semantic,1,0,1,88.7815272179432
37,young,46,RODE,ROLE,phonetic,0,1,6,90.8774423555005
37,young,47,RHINESTONES,DIAMOND,semantic,0,0,3,94.6052517113276
37,young,48,DINOSAUR,CRITICAL,semantic,1,0,1,96.1491458187811
37,young,49,COD,COP,phonetic,0,1,6,97.2930615383666
37,young,50,SILHOUETTE,,semantic,1,0,1,98.788968646666
37,young,51,BOON,CRITICAL,phonetic,1,0,1,100.076948594535
37,young,52,COON,BOON,phonetic,0,0,4,102.452818781137
37,young,53,CAM,CAT,phonetic,0,0,3,104.340700507862
37,young,54,BOOT,BOON,phonetic,0,1,6,105.492633579997
37,young,55,PUN,BUN,phonetic,0,0,2,108.004513816675
37,young,56,BUN,CRITICAL,phonetic,1,0,5,109.740417496301
37,young,57,REPTILES,DINOSAUR,semantic,0,0,1,111.060385959223
37,young,58,BUT,BUN,phonetic,0,1,6,112.580237969756
37,young,59,LOUD,,phonetic,1,0,6,114.228148480644
37,young,60,NULL,,phonetic,1,0,1,115.6521185569
37,young,61,GAMBLER,CRITICAL,semantic,1,0,6,116.996015622281
37,young,62,PAT,CAT,phonetic,0,0,4,118.876005564816
37,young,63,WARMHEARTED,,semantic,1,0,1,120.411840060959
37,young,64,INVITATION,,semantic,1,0,3,122.451770467218
37,young,65,FATE,CRITICAL,phonetic,1,0,6,124.035680403234
37,young,66,LAMPOON,COMEDIAN,semantic,0,1,5,125.987553347601
37,young,67,FITNESS,CRITICAL,semantic,1,0,1,127.291528156726
37,young,68,COG,COP,phonetic,0,1,6,128.64341752138
37,young,69,DRAGONFLY,BUTTERFLY,semantic,0,1,6,129.771371582756
37,young,70,DIAMOND,CRITICAL,semantic,1,0,6,131.043281207327
37,young,71,MIRE,CRITICAL,phonetic,1,0,2,132.883191933157
37,young,72,POKER,GAMBLER,semantic,0,1,6,133.995106157847
37,young,73,SATELLITE,ASTRONAUT,semantic,0,0,3,135.571065147873
37,young,74,GAZETTE,,semantic,1,0,1,137.170963908313
37,young,75,METAMORPHOSIS,BUTTERFLY,semantic,0,1,6,138.562899588374
