SubNum,Group,TrialNum,Word,List,Type,NoList,Pleasantness,RT
82,young,1,MOORING,,semantic,1,,NA
82,young,2,PROMENADE,,semantic,1,3#,4.76145899179392
82,young,3,JASMINE,,semantic,1,,NA
82,young,4,INVITATION,,semantic,1,4,10.4880293533788
82,young,5,THICKET,,semantic,1,5,12.9871973165718
82,young,6,INFERNO,,semantic,1,,NA
82,young,7,SCISSORS,,semantic,1,1,20.1680457748444
82,young,8,PICCOLO,,semantic,1,2,23.1503950250335
82,young,9,PURPLE,,semantic,1,5,26.0327748322161
82,young,10,PAUPER,,semantic,1,,NA
82,young,11,MOP,COP,phonetic,0,1,31.5309388463356
82,young,12,CASINO,GAMBLER,semantic,0,5,35.446198919075
82,young,13,RUN,BUN,phonetic,0,5,37.5789441273373
82,young,14,EXTINCTION,DINOSAUR,semantic,0,2,41.2942993699544
82,young,15,GOON,BOON,phonetic,0,4,44.0931181436172
82,young,16,RODE,ROLE,phonetic,0,2,47.4253133258753
82,young,17,COMIC,COMEDIAN,semantic,0,5,49.6912394712417
82,young,18,HAUNTING,PHANTOM,semantic,0,5,52.7071627008554
82,young,19,DERANGED,LUNATIC,semantic,0,2,56.0727107324929
82,young,20,MINE,MIRE,phonetic,0,5,58.8217822428851
82,young,21,TEST,WEST,phonetic,0,5,61.6708437230991
82,young,22,PACIFIER,INFANT,semantic,0,1,65.6362284730567
82,young,23,FACE,FATE,phonetic,0,,NA
82,young,24,MILE,MIRE,phonetic,0,5,70.2013057869335
82,young,25,LOON,BOON,phonetic,0,5,73.48355636833
82,young,26,DIRE,MIRE,phonetic,0,5,76.4158177962963
82,young,27,FIRE,MIRE,phonetic,0,2,79.6314667126862
82,young,28,HARDNESS,DIAMOND,semantic,0,3,82.6138425544632
82,young,29,MAMMOTH,DINOSAUR,semantic,0,3,85.7461249757907
82,young,30,CON,COP,phonetic,0,1,88.4949254385865
82,young,31,AMPHIBIANS,DINOSAUR,semantic,0,3,91.3775580991205
82,young,32,GLITTERING,DIAMOND,semantic,0,5,94.8594685880962
82,young,33,GHOST,PHANTOM,semantic,0,1,98.2419615261606
82,young,34,MUMMIES,PYRAMID,semantic,0,3,100.674475574226
