SubNum,Group,Hostname,TrialNum,Word,List,Type,NoList,Pleasantness,RT,Credit,Lab
81,young,cMAPLab-fMRI,1,CARPORT,,semantic,1,,NA,y,y
81,young,cMAPLab-fMRI,2,MECHANICAL,,semantic,1,5%,3.20468385167624,y,y
81,young,cMAPLab-fMRI,3,OPOSSUM,,semantic,1,4$,7.7496527931653,y,y
81,young,cMAPLab-fMRI,4,GUTTER,,semantic,1,5%,10.3320757533729,y,y
81,young,cMAPLab-fMRI,5,HONEYCOMB,,semantic,1,2@,14.5972997874997,y,y
81,young,cMAPLab-fMRI,6,CONVENIENCE,,semantic,1,2@,17.0465068216799,y,y
81,young,cMAPLab-fMRI,7,ANTIQUITY,,semantic,1,4$,19.5123592570235,y,y
81,young,cMAPLab-fMRI,8,JARGON,,semantic,1,4$,22.1281583925665,y,y
81,young,cMAPLab-fMRI,9,TRIBESMAN,,semantic,1,4$,25.3937094565772,y,y
81,young,cMAPLab-fMRI,10,LINGUISTICS,,semantic,1,1!,29.0425558714924,y,y
81,young,cMAPLab-fMRI,11,RHINESTONES,DIAMOND,semantic,0,3#,32.124798055549,y,y
81,young,cMAPLab-fMRI,12,CAM,CAT,phonetic,0,2@,35.1237754457034,y,y
81,young,cMAPLab-fMRI,13,TONING,FITNESS,semantic,0,1!,38.0894937568082,y,y
81,young,cMAPLab-fMRI,14,TEAS,TEAL,phonetic,0,3#,40.7049845232323,y,y
81,young,cMAPLab-fMRI,15,DIP,SIP,phonetic,0,4$,43.4210502744318,y,y
81,young,cMAPLab-fMRI,16,SORCERER,MAGICIAN,semantic,0,4$,46.4700123860821,y,y
81,young,cMAPLab-fMRI,17,MINE,MIRE,phonetic,0,1!,49.4023339950145,y,y
81,young,cMAPLab-fMRI,18,SIS,SIP,phonetic,0,2@,52.4513483568007,y,y
81,young,cMAPLab-fMRI,19,HIP,SIP,phonetic,0,2@,55.1004177678478,y,y
81,young,cMAPLab-fMRI,20,GHOST,PHANTOM,semantic,0,3#,58.9656548645144,y,y
81,young,cMAPLab-fMRI,21,SWEATING,FITNESS,semantic,0,5%,61.8145861859011,y,y
81,young,cMAPLab-fMRI,22,PUN,BUN,phonetic,0,3#,64.230448301525,y,y
81,young,cMAPLab-fMRI,23,RABBIT,MAGICIAN,semantic,0,1!,67.346354036672,y,y
81,young,cMAPLab-fMRI,24,MEDIEVAL,CASTLE,semantic,0,4$,70.4283998161918,y,y
81,young,cMAPLab-fMRI,25,CARAT,DIAMOND,semantic,0,1!,73.7275500516698,y,y
81,young,cMAPLab-fMRI,26,FEUDAL,CASTLE,semantic,0,4$,76.426655967829,y,y
81,young,cMAPLab-fMRI,27,MIKE,MIRE,phonetic,0,2@,80.4086702573113,y,y
81,young,cMAPLab-fMRI,28,MOP,COP,phonetic,0,4$,82.8411773075786,y,y
81,young,cMAPLab-fMRI,29,BUS,BUN,phonetic,0,3#,85.1737321760593,y,y
81,young,cMAPLab-fMRI,30,TEAM,TEAL,phonetic,0,2@,88.6725549151306,y,y
81,young,cMAPLab-fMRI,31,GOBLIN,PHANTOM,semantic,0,4$,91.2050454039709,y,y
81,young,cMAPLab-fMRI,32,HAUNTING,PHANTOM,semantic,0,4$,94.2373588488117,y,y
81,young,cMAPLab-fMRI,33,APPARITION,PHANTOM,semantic,0,4$,96.8198312600434,y,y
81,young,cMAPLab-fMRI,34,SPOOKY,PHANTOM,semantic,0,4$,99.9521253443527,y,y
81,young,cMAPLab-fMRI,35,BOOS,BOON,phonetic,0,4$,103.267699384436,y,y
81,young,cMAPLab-fMRI,36,BARBELLS,FITNESS,semantic,0,4$,106.466661845974,y,y
81,young,cMAPLab-fMRI,37,SLAPSTICK,COMEDIAN,semantic,0,4$,109.348717422385,y,y
81,young,cMAPLab-fMRI,38,DATE,FATE,phonetic,0,1!,112.247995950616,y,y
81,young,cMAPLab-fMRI,39,MEAL,TEAL,phonetic,0,2@,115.713530686466,y,y
81,young,cMAPLab-fMRI,40,BOP,COP,phonetic,0,3#,118.845814507338,y,y
81,young,cMAPLab-fMRI,41,FADE,FATE,phonetic,0,3#,121.544910626602,y,y
81,young,cMAPLab-fMRI,42,REAL,TEAL,phonetic,0,1!,124.027455115036,y,y
81,young,cMAPLab-fMRI,43,BUFFOON,COMEDIAN,semantic,0,4$,127.509563874628,y,y
