SubNum,Group,TrialNum,Word,List,Type,NoList,Pleasantness,RT
57,young,1,INFERNO,,semantic,1,5%,2.7417087466456
57,young,2,PICCOLO,,semantic,1,5%,4.21367893368006
57,young,3,HOUSECOAT,,semantic,1,5%,6.17204374726862
57,young,4,GUTTER,,semantic,1,3#,9.04722813889384
57,young,5,MOORING,,semantic,1,5%,13.4641314800829
57,young,6,PODIUM,,semantic,1,3#,16.62264426006
57,young,7,UNFORMED,,semantic,1,5%,19.2811339483596
57,young,8,CARPORT,,semantic,1,5%,22.222966211848
57,young,9,MECHANICAL,,semantic,1,3#,25.5397892310284
57,young,10,CONVENIENCE,,semantic,1,1!,28.3983067497611
57,young,11,LULLABY,INFANT,semantic,0,1!,31.0901039233431
57,young,12,NOON,BOON,phonetic,0,1!,34.448620989453
57,young,13,LAMPOON,COMEDIAN,semantic,0,,NA
57,young,14,REAL,TEAL,phonetic,0,3#,41.4406790505163
57,young,15,BARBELLS,FITNESS,semantic,0,5%,43.1574560077861
57,young,16,GOON,BOON,phonetic,0,5%,46.0659267548472
57,young,17,WIZARD,MAGICIAN,semantic,0,1!,48.9410930359736
57,young,18,RIP,SIP,phonetic,0,5%,52.049601574894
57,young,19,STAKES,GAMBLER,semantic,0,3#,55.1414501830004
57,young,20,BICEPS,FITNESS,semantic,0,3#,58.2999481726438
57,young,21,SPELLS,MAGICIAN,semantic,0,1!,60.8750868947245
57,young,22,TOON,BOON,phonetic,0,3#,65.0586461666971
57,young,23,HOLE,ROLE,phonetic,0,5%,66.7754237274639
57,young,24,NIP,SIP,phonetic,0,5%,70.1090234923176
57,young,25,DIP,SIP,phonetic,0,5%,72.850792306941
57,young,26,BOOT,BOON,phonetic,0,3#,75.9842546707951
57,young,27,ROTE,ROLE,phonetic,0,5%,79.3177641830407
57,young,28,MOLE,ROLE,phonetic,0,5%,81.7595766754821
57,young,29,TEAM,TEAL,phonetic,0,3#,84.8431051285006
57,young,30,GHOST,PHANTOM,semantic,0,3#,88.8183312057517
