SubNum,Group,Hostname,TrialNum,Word,List,Type,NoList,Pleasantness,RT,Credit,Lab
87,young,cMAPLab-fMRI,1,HONEYCOMB,,semantic,1,,NA,y,y
87,young,cMAPLab-fMRI,2,INFERNO,,semantic,1,1!,4.7887876801542,y,y
87,young,cMAPLab-fMRI,3,MONOXIDE,,semantic,1,1!,8.60415715161071,y,y
87,young,cMAPLab-fMRI,4,GAZETTE,,semantic,1,3#,10.6701439444587,y,y
87,young,cMAPLab-fMRI,5,PROMENADE,,semantic,1,3#,13.5858360138664,y,y
87,young,cMAPLab-fMRI,6,TORTILLA,,semantic,1,2@,16.7017454811721,y,y
87,young,cMAPLab-fMRI,7,TRIPLICATE,,semantic,1,1!,19.3508298208326,y,y
87,young,cMAPLab-fMRI,8,SYNOPSIS,,semantic,1,1!,22.5164767545211,y,y
87,young,cMAPLab-fMRI,9,CANVAS,,semantic,1,3#,25.6487596423685,y,y
87,young,cMAPLab-fMRI,10,INVITATION,,semantic,1,3#,28.3978339518508,y,y
87,young,cMAPLab-fMRI,11,BRILLIANCE,DIAMOND,semantic,0,3#,31.446815657313,y,y
87,young,cMAPLab-fMRI,12,PEST,WEST,phonetic,0,1!,35.0789284989442,y,y
87,young,cMAPLab-fMRI,13,JACKPOT,GAMBLER,semantic,0,2@,38.1445551390498,y,y
87,young,cMAPLab-fMRI,14,PACIFIER,INFANT,semantic,0,3#,40.4604492112267,y,y
87,young,cMAPLab-fMRI,15,SEAL,TEAL,phonetic,0,5%,42.8096583447332,y,y
87,young,cMAPLab-fMRI,16,STRONGHOLD,CASTLE,semantic,0,3#,46.2749019726762,y,y
87,young,cMAPLab-fMRI,17,GLACIERS,DINOSAUR,semantic,0,3#,49.5574609231844,y,y
87,young,cMAPLab-fMRI,18,LULLABY,INFANT,semantic,0,5%,51.9899199219944,y,y
87,young,cMAPLab-fMRI,19,ROBE,ROLE,phonetic,0,4$,55.4720935277437,y,y
87,young,cMAPLab-fMRI,20,COMIC,COMEDIAN,semantic,0,2@,58.5877188849263,y,y
87,young,cMAPLab-fMRI,21,MOP,COP,phonetic,0,2@,61.1369121567841,y,y
87,young,cMAPLab-fMRI,22,MATE,FATE,phonetic,0,3#,64.4191146867233,y,y
87,young,cMAPLab-fMRI,23,SIT,SIP,phonetic,0,3#,67.0181825815671,y,y
87,young,cMAPLab-fMRI,24,LATE,FATE,phonetic,0,2@,70.4171053889877,y,y
87,young,cMAPLab-fMRI,25,TONING,FITNESS,semantic,0,2@,73.7826482889213,y,y
87,young,cMAPLab-fMRI,26,PSYCHOPATH,LUNATIC,semantic,0,3#,76.2151581383077,y,y
87,young,cMAPLab-fMRI,27,TEST,WEST,phonetic,0,3#,78.9309323150665,y,y
87,young,cMAPLab-fMRI,28,DUNGEON,CASTLE,semantic,0,1!,82.2464886274247,y,y
87,young,cMAPLab-fMRI,29,POP,COP,phonetic,0,5%,85.5620379419997,y,y
87,young,cMAPLab-fMRI,30,REAL,TEAL,phonetic,0,,NA,y,y
87,young,cMAPLab-fMRI,31,DIRE,MIRE,phonetic,0,1!,91.1768093359715,y,y
87,young,cMAPLab-fMRI,32,ROTE,ROLE,phonetic,0,5%,95.0088657287997,y,y
87,young,cMAPLab-fMRI,33,FACE,FATE,phonetic,0,,NA,y,y
87,young,cMAPLab-fMRI,34,FIRE,MIRE,phonetic,0,1!,100.240460734247,y,y
87,young,cMAPLab-fMRI,35,SOON,BOON,phonetic,0,3#,103.755955466084,y,y
87,young,cMAPLab-fMRI,36,MADMAN,LUNATIC,semantic,0,5%,106.521437718533,y,y
87,young,cMAPLab-fMRI,37,GATE,FATE,phonetic,0,3#,110.237127455344,y,y
87,young,cMAPLab-fMRI,38,HOLE,ROLE,phonetic,0,,NA,y,y
87,young,cMAPLab-fMRI,39,THRONE,CASTLE,semantic,0,5%,116.668331051274,y,y
87,young,cMAPLab-fMRI,40,FAME,FATE,phonetic,0,5%,118.051179476883,y,y
87,young,cMAPLab-fMRI,41,STORK,INFANT,semantic,0,3#,122.449696879223,y,y
87,young,cMAPLab-fMRI,42,MILE,MIRE,phonetic,0,3#,124.182454683498,y,y
87,young,cMAPLab-fMRI,43,HATE,FATE,phonetic,0,3#,126.848232009273,y,y
87,young,cMAPLab-fMRI,44,RATE,FATE,phonetic,0,4$,131.296763990322,y,y
87,young,cMAPLab-fMRI,45,GOON,BOON,phonetic,0,1!,133.812562892606,y,y
87,young,cMAPLab-fMRI,46,LOON,BOON,phonetic,0,2@,136.111803166263,y,y
87,young,cMAPLab-fMRI,47,HALLUCINATION,LUNATIC,semantic,0,1!,139.244121509561,y,y
87,young,cMAPLab-fMRI,48,SWEATING,FITNESS,semantic,0,3#,142.292808841463,y,y
87,young,cMAPLab-fMRI,49,BICEPS,FITNESS,semantic,0,,NA,y,y
87,young,cMAPLab-fMRI,50,FORTRESS,CASTLE,semantic,0,4$,149.640322178078,y,y
87,young,cMAPLab-fMRI,51,ASYLUM,LUNATIC,semantic,0,3#,151.256720790654,y,y
87,young,cMAPLab-fMRI,52,BARBELLS,FITNESS,semantic,0,5%,154.62197911393,y,y
87,young,cMAPLab-fMRI,53,BOOT,BOON,phonetic,0,3#,157.404674521284,y,y
87,young,cMAPLab-fMRI,54,DOLE,ROLE,phonetic,0,3#,160.087115909002,y,y
87,young,cMAPLab-fMRI,55,LOTTERY,GAMBLER,semantic,0,4$,163.735632961441,y,y
87,young,cMAPLab-fMRI,56,HIRE,MIRE,phonetic,0,3#,166.201769973428,y,y
87,young,cMAPLab-fMRI,57,TOWERS,CASTLE,semantic,0,4$,169.800272447144,y,y
87,young,cMAPLab-fMRI,58,SIN,SIP,phonetic,0,4$,172.666220052386,y,y
87,young,cMAPLab-fMRI,59,FAKE,FATE,phonetic,0,4$,175.33202257019,y,y
87,young,cMAPLab-fMRI,60,SKELETONS,DINOSAUR,semantic,0,3#,178.197729918102,y,y
87,young,cMAPLab-fMRI,61,STAKES,GAMBLER,semantic,0,4$,181.313287630008,y,y
87,young,cMAPLab-fMRI,62,RUN,BUN,phonetic,0,2@,184.195719220821,y,y
87,young,cMAPLab-fMRI,63,BABBLE,INFANT,semantic,0,1!,187.161394612165,y,y
