SubNum,TrialNum,Word,List,Type,NoList,Pleasantness,RT
46,1,"ANTIQUITY","","semantic",1,"1",2.25918825902045
46,2,"BAGEL","","semantic",1,"1",4.49782642675564
46,3,"OPOSSUM","","semantic",1,"1",7.58972863689996
46,4,"UNFORMED","","semantic",1,,
46,5,"TORTILLA","","semantic",1,"1",14.1068253396079
46,6,"MOORING","","semantic",1,"1",16.4569779816084
46,7,"CANVAS","","semantic",1,"1",19.1238166990224
46,8,"UNDERGROWTH","","semantic",1,"5",22.3657211125828
46,9,"THESAURUS","","semantic",1,"3",26.2409729252104
46,10,"SCHOOLYARD","","semantic",1,"4",29.3411915202159
46,11,"MONOLOGUE","COMEDIAN","semantic",0,"2",32.5497567444108
46,12,"MICE","MIRE","phonetic",0,"2",35.8249544668943
46,13,"HARDNESS","DIAMOND","semantic",0,"3",37.6750751137733
46,14,"HUMORIST","COMEDIAN","semantic",0,"1",40.8669628954958
46,15,"NUTRITION","FITNESS","semantic",0,"3",43.7671683905646
46,16,"FAME","FATE","phonetic",0,"3",46.7840202983934
46,17,"SORCERER","MAGICIAN","semantic",0,"3",49.9342365085613
46,18,"MIKE","MIRE","phonetic",0,"3",53.0177954698447
46,19,"BUD","BUN","phonetic",0,"4",56.0680671588052
46,20,"LAMPOON","COMEDIAN","semantic",0,"1",58.3348482844885
46,21,"BLACKJACK","GAMBLER","semantic",0,"3",62.1017456196714
46,22,"BUFFOON","COMEDIAN","semantic",0,"1",65.1186443134211
46,23,"PARANORMAL","PHANTOM","semantic",0,"2",67.9855205798522
46,24,"IMPROVISATION","COMEDIAN","semantic",0,"1",71.294047832489
46,25,"PRECIOUS","DIAMOND","semantic",0,"3",74.8692949365359
46,26,"GOON","BOON","phonetic",0,"1",77.2611251871567
46,27,"BUM","BUN","phonetic",0,"3",79.4946474139579
46,28,"JOGGING","FITNESS","semantic",0,"2",82.861509493785
46,29,"TEAM","TEAL","phonetic",0,"3",85.3950134892948
46,30,"RATE","FATE","phonetic",0,"3",88.5118962456472
46,31,"BOOS","BOON","phonetic",0,"4",92.2871594680473
