SubNum,Group,Hostname,TrialNum,Word,List,Type,NoList,Pleasantness,RT,Credit,Lab
100,old,cMAPLab-Behav,1,INDUSTRY,,semantic,1,,,n,n
100,old,cMAPLab-Behav,2,SCHOOLYARD,,semantic,1,2,5.572946833,n,n
100,old,cMAPLab-Behav,3,GAZETTE,,semantic,1,1,7.489337527,n,n
100,old,cMAPLab-Behav,4,INFERNO,,semantic,1,5,11.57191193,n,n
100,old,cMAPLab-Behav,5,SILHOUETTE,,semantic,1,4,14.18812746,n,n
100,old,cMAPLab-Behav,6,APARTMENT,,semantic,1,3,17.78748266,n,n
100,old,cMAPLab-Behav,7,ANTIQUITY,,semantic,1,2,19.98711377,n,n
100,old,cMAPLab-Behav,8,INVITATION,,semantic,1,1,23.30322256,n,n
100,old,cMAPLab-Behav,9,UNDERGROWTH,,semantic,1,3,26.53600686,n,n
100,old,cMAPLab-Behav,10,PODIUM,,semantic,1,2,28.96891448,n,n
100,old,cMAPLab-Behav,11,DOLE,ROLE,phonetic,0,3,32.78490653,n,n
100,old,cMAPLab-Behav,12,SIT,SIP,phonetic,0,3,35.2345107,n,n
100,old,cMAPLab-Behav,13,MONOLOGUE,COMEDIAN,semantic,0,3,38.6339025,n,n
100,old,cMAPLab-Behav,14,LIP,SIP,phonetic,0,2,41.25013214,n,n
100,old,cMAPLab-Behav,15,MINE,MIRE,phonetic,0,1,43.86636221,n,n
100,old,cMAPLab-Behav,16,EMERALD,DIAMOND,semantic,0,1,46.24926787,n,n
100,old,cMAPLab-Behav,17,BETTOR,GAMBLER,semantic,0,3,50.74852634,n,n
100,old,cMAPLab-Behav,18,COMIC,COMEDIAN,semantic,0,1,52.83148348,n,n
100,old,cMAPLab-Behav,19,WEPT,WEST,phonetic,0,5,56.69748861,n,n
100,old,cMAPLab-Behav,20,LATE,FATE,phonetic,0,5,58.58046697,n,n
100,old,cMAPLab-Behav,21,WENT,WEST,phonetic,0,3,61.8799083,n,n
100,old,cMAPLab-Behav,22,EXTINCTION,DINOSAUR,semantic,0,5,64.7460708,n,n
100,old,cMAPLab-Behav,23,GHOUL,PHANTOM,semantic,0,4,67.51225844,n,n
100,old,cMAPLab-Behav,24,MUMMIES,PYRAMID,semantic,0,4,71.12834055,n,n
100,old,cMAPLab-Behav,25,VEAL,TEAL,phonetic,0,5,73.87737535,n,n
100,old,cMAPLab-Behav,26,BOOKIE,GAMBLER,semantic,0,3,77.41037031,n,n
100,old,cMAPLab-Behav,27,JOKER,COMEDIAN,semantic,0,2,79.65997602,n,n
100,old,cMAPLab-Behav,28,RODE,ROLE,phonetic,0,2,83.22605145,n,n
100,old,cMAPLab-Behav,29,MIKE,MIRE,phonetic,0,3,86.6420594,n,n
100,old,cMAPLab-Behav,30,DIAPERS,INFANT,semantic,0,,,n,n
100,old,cMAPLab-Behav,31,WORKOUT,FITNESS,semantic,0,5,90.02486927,n,n
100,old,cMAPLab-Behav,32,LAMPOON,COMEDIAN,semantic,0,2,95.65725277,n,n
100,old,cMAPLab-Behav,33,RIP,SIP,phonetic,0,5,97.2902863,n,n
100,old,cMAPLab-Behav,34,GUN,BUN,phonetic,0,5,101.9061529,n,n
100,old,cMAPLab-Behav,35,MATE,FATE,phonetic,0,3,104.4557037,n,n
100,old,cMAPLab-Behav,36,INSANITY,LUNATIC,semantic,0,4,106.7386537,n,n
100,old,cMAPLab-Behav,37,PUN,BUN,phonetic,0,1,109.2215697,n,n
100,old,cMAPLab-Behav,38,SIS,SIP,phonetic,0,1,112.0877258,n,n
100,old,cMAPLab-Behav,39,TIRE,MIRE,phonetic,0,3,115.7371249,n,n
