SubNum,Group,TrialNum,Word,List,Type,NoList,Pleasantness,RT
73,young,1,PICCOLO,,semantic,1,1,2.31223910918925
73,young,2,SCISSORS,,semantic,1,4,5.59214399103075
73,young,3,INVITATION,,semantic,1,1,7.80868772009853
73,young,4,TRIBESMAN,,semantic,1,3,10.8751702797599
73,young,5,APARTMENT,,semantic,1,2,14.5749350498663
73,young,6,THESAURUS,,semantic,1,4,16.7081322901649
73,young,7,MECHANICAL,,semantic,1,4,20.141245103674
73,young,8,OPOSSUM,,semantic,1,4,22.691089969012
73,young,9,MONOXIDE,,semantic,1,5,25.157600419363
73,young,10,CANVAS,,semantic,1,2,28.4573946498567
73,young,11,GATE,FATE,phonetic,0,3,31.4406753056683
73,young,12,HOP,COP,phonetic,0,2,34.5070138840238
73,young,13,BAT,CAT,phonetic,0,4,37.2735289527336
73,young,14,CAM,CAT,phonetic,0,3,40.5399705215823
73,young,15,DIP,SIP,phonetic,0,2,43.2397980759852
73,young,16,BUFFOON,COMEDIAN,semantic,0,2,46.2896089834394
73,young,17,HIRE,MIRE,phonetic,0,2,49.6894168271683
73,young,18,GOON,BOON,phonetic,0,1,52.7725556448568
73,young,19,CARAT,DIAMOND,semantic,0,2,56.1389890939463
73,young,20,BUM,BUN,phonetic,0,3,58.7221633786103
73,young,21,HALLUCINATION,LUNATIC,semantic,0,3,62.6885861423798
73,young,22,PACIFIER,INFANT,semantic,0,2,64.4051420963369
73,young,23,FUN,BUN,phonetic,0,1,66.7883238669019
73,young,24,PHYSIQUE,FITNESS,semantic,0,2,70.171450399328
73,young,25,NIP,SIP,phonetic,0,3,73.6045659293886
73,young,26,TOP,COP,phonetic,0,3,76.5210679130396
73,young,27,RANTING,LUNATIC,semantic,0,4,79.5875260230387
73,young,28,FAT,CAT,phonetic,0,5,82.3873505891534
73,young,29,SIX,SIP,phonetic,0,3,85.8539452550467
73,young,30,TEAT,TEAL,phonetic,0,3,88.7369747434277
73,young,31,MONOLOGUE,COMEDIAN,semantic,0,2,92.4200823500287
73,young,32,PEAL,TEAL,phonetic,0,3,94.7699114589486
73,young,33,BICEPS,FITNESS,semantic,0,2,97.4031025114236
73,young,34,MEAL,TEAL,phonetic,0,2,100.18626749923
73,young,35,FRAGILE,BUTTERFLY,semantic,0,4,103.569375618943
73,young,36,COB,COP,phonetic,0,3,106.419187371619
73,young,37,HIP,SIP,phonetic,0,2,109.169010866201
73,young,38,DOLE,ROLE,phonetic,0,3,111.868847475969
73,young,39,RHINESTONES,DIAMOND,semantic,0,1,115.185316678951
73,young,40,VOYAGER,ASTRONAUT,semantic,0,2,118.318465019926
73,young,41,ARTIFACTS,DINOSAUR,semantic,0,4,121.384916489245
73,young,42,PAT,CAT,phonetic,0,3,124.06808506907
73,young,43,BOOS,BOON,phonetic,0,3,127.751207466237
73,young,44,GLITTERING,DIAMOND,semantic,0,1,130.767668730579
73,young,45,TOON,BOON,phonetic,0,3,133.350851768861
73,young,46,ATMOSPHERES,ASTRONAUT,semantic,0,2,136.600659114658
73,young,47,MINE,MIRE,phonetic,0,3,139.167150276946
73,young,48,REPTILES,DINOSAUR,semantic,0,4,142.350304519059
73,young,49,CON,COP,phonetic,0,5,146.650047133444
73,young,50,SWEATING,FITNESS,semantic,0,3,148.599917474785
73,young,51,JOGGING,FITNESS,semantic,0,2,151.999679437722
73,young,52,TEAM,TEAL,phonetic,0,3,155.599458364421
73,young,53,JOKER,COMEDIAN,semantic,0,2,158.765925258282
73,young,54,RUBIES,DIAMOND,semantic,0,1,160.699155943235
73,young,55,BOOM,BOON,phonetic,0,3,164.415576065774
73,young,56,COT,COP,phonetic,0,4,167.198736827704
73,young,57,HEAL,TEAL,phonetic,0,2,170.815171106835
73,young,58,SWAMPS,DINOSAUR,semantic,0,4,172.165093788528
73,young,59,TOWERS,CASTLE,semantic,0,3,175.9648519482
73,young,60,EXTINCTION,DINOSAUR,semantic,0,4,179.297980729374
73,young,61,JACKPOT,GAMBLER,semantic,0,1,181.414536804077
73,young,62,FLUTTER,BUTTERFLY,semantic,0,1,184.297669222578
73,young,63,NUTRITION,FITNESS,semantic,0,2,187.214176639449
73,young,64,FOSSILS,DINOSAUR,semantic,0,3,190.380641118507
73,young,65,HUMORIST,COMEDIAN,semantic,0,2,193.147126002354
73,young,66,WORKOUT,FITNESS,semantic,0,1,196.180265257717
73,young,67,SLAPSTICK,COMEDIAN,semantic,0,3,200.096686346107
73,young,68,HAT,CAT,phonetic,0,2,202.196560807643
73,young,69,MAT,CAT,phonetic,0,2,204.796393161407
73,young,70,SOON,BOON,phonetic,0,2,208.879474024288
73,young,71,WINGS,BUTTERFLY,semantic,0,2,211.729293021373
73,young,72,MAMMOTH,DINOSAUR,semantic,0,3,214.679111444857
73,young,73,RIP,SIP,phonetic,0,4,217.845579847926
73,young,74,BRONTOSAURUS,DINOSAUR,semantic,0,4,220.278764501098
73,young,75,FAME,FATE,phonetic,0,1,224.728483465849
73,young,76,TIP,SIP,phonetic,0,2,226.361727341544
73,young,77,BARBELLS,FITNESS,semantic,0,3,230.944765493041
73,young,78,MOON,BOON,phonetic,0,1,232.22805046523
73,young,79,HARDNESS,DIAMOND,semantic,0,4,235.261167685734
73,young,80,CATERPILLAR,BUTTERFLY,semantic,0,1,238.227649309672
73,young,81,VEST,WEST,phonetic,0,3,241.460785003263
73,young,82,LIP,SIP,phonetic,0,1,244.077334890026
