SubNum,Group,TrialNum,Word,List,Type,NoList,Pleasantness,RT
93,young,1,INDUSTRY,,semantic,1,4$,1.73159243959526
93,young,2,CONVENIENCE,,semantic,1,1!,4.24427965954237
93,young,3,WARMHEARTED,,semantic,1,1!,6.92642574066122
93,young,4,STATIONER,,semantic,1,3#,10.6921221253724
93,young,5,SCHOOLYARD,,semantic,1,,NA
93,young,6,BIOLOGIST,,semantic,1,2@,16.5234726748167
93,young,7,MONOXIDE,,semantic,1,5%,19.3558490997384
93,young,8,THICKET,,semantic,1,3#,22.4381729246379
93,young,9,JARGON,,semantic,1,3#,26.0203155068593
93,young,10,TRIPLICATE,,semantic,1,5%,28.3695279060048
93,young,11,ROBE,ROLE,phonetic,0,1!,31.0352987005172
93,young,12,VEST,WEST,phonetic,0,1!,33.8177109307726
93,young,13,SPELLS,MAGICIAN,semantic,0,4$,37.3831969153835
93,young,14,LEST,WEST,phonetic,0,3#,40.8653276013792
93,young,15,HOP,COP,phonetic,0,1!,43.0312982993055
93,young,16,TRICKSTER,MAGICIAN,semantic,0,4$,46.1802457156155
93,young,17,HEAL,TEAL,phonetic,0,1!,49.1292584445764
93,young,18,HOLE,ROLE,phonetic,0,4$,52.2781816018833
93,young,19,HALLUCINATION,LUNATIC,semantic,0,5%,55.2105759878032
93,young,20,FORTRESS,CASTLE,semantic,0,3#,58.6760547413578
93,young,21,ENCHANTED,MAGICIAN,semantic,0,2@,61.2085503619019
93,young,22,ROSE,ROLE,phonetic,0,1!,64.0742600424128
93,young,23,JACKPOT,GAMBLER,semantic,0,1!,66.6900577783963
93,young,24,MEDIEVAL,CASTLE,semantic,0,3#,70.4387957276194
93,young,25,POLE,ROLE,phonetic,0,3#,73.6877083882573
93,young,26,CHATEAU,CASTLE,semantic,0,1!,76.0202795848891
93,young,27,HARDNESS,DIAMOND,semantic,0,4$,79.3024979764741
93,young,28,CON,COP,phonetic,0,5%,82.1515170034545
93,young,29,REST,WEST,phonetic,0,1!,84.8006568588899
93,young,30,BRONTOSAURUS,DINOSAUR,semantic,0,3#,88.5491522181837
93,young,31,POP,COP,phonetic,0,1!,90.9319427954324
93,young,32,DOLE,ROLE,phonetic,0,2@,94.9139566183876
93,young,33,MANIAC,LUNATIC,semantic,0,5%,97.0798899947986
93,young,34,TOWERS,CASTLE,semantic,0,2@,100.612059051986
93,young,35,WENT,WEST,phonetic,0,4$,103.544385792629
93,young,36,INSANITY,LUNATIC,semantic,0,5%,105.76029082801
93,young,37,SPARKLE,DIAMOND,semantic,0,1!,108.725991877902
93,young,38,MANSION,CASTLE,semantic,0,1!,111.775004840136
93,young,39,SPOOKY,PHANTOM,semantic,0,5%,114.957267784295
93,young,40,PEAL,TEAL,phonetic,0,4$,119.122550833097
93,young,41,MATE,FATE,phonetic,0,1!,121.221806501882
93,young,42,TOP,COP,phonetic,0,4$,124.787296218637
93,young,43,FADE,FATE,phonetic,0,2@,127.969563361461
93,young,44,VEAL,TEAL,phonetic,0,2@,130.6019962352
93,young,45,REPTILES,DINOSAUR,semantic,0,5%,133.151147986864
93,young,46,NEST,WEST,phonetic,0,3#,136.616672459277
93,young,47,TEAT,TEAL,phonetic,0,3#,139.032517313695
93,young,48,EXTINCTION,DINOSAUR,semantic,0,5%,141.948225244749
93,young,49,CAB,CAT,phonetic,0,2@,145.147183041103
93,young,50,FAT,CAT,phonetic,0,4$,148.395906294973
93,young,51,DIP,SIP,phonetic,0,2@,151.3117453179
93,young,52,APPARITION,PHANTOM,semantic,0,5%,154.244110313113
93,young,53,MOON,BOON,phonetic,0,2@,156.992917773678
93,young,54,MAMMOTH,DINOSAUR,semantic,0,4$,160.358457407972
93,young,55,SPECTER,PHANTOM,semantic,0,3#,163.19082963423
93,young,56,LATE,FATE,phonetic,0,4$,166.689955610709
93,young,57,ROTE,ROLE,phonetic,0,3#,168.889202648905
93,young,58,GHOUL,PHANTOM,semantic,0,5%,171.954803163942
93,young,59,RABBIT,MAGICIAN,semantic,0,1!,174.887186353386
93,young,60,GATE,FATE,phonetic,0,2@,177.986207363079
93,young,61,MOP,COP,phonetic,0,3#,181.101789800494
93,young,62,GOBLIN,PHANTOM,semantic,0,5%,183.884090999214
93,young,63,PARANORMAL,PHANTOM,semantic,0,5%,186.699912994198
93,young,64,BOOS,BOON,phonetic,0,5%,189.765581621017
93,young,65,DEMENTED,LUNATIC,semantic,0,5%,192.897804327906
93,young,66,AMPHIBIANS,DINOSAUR,semantic,0,4$,196.396686314896
93,young,67,DEAL,TEAL,phonetic,0,2@,199.395680966263
93,young,68,BOP,COP,phonetic,0,1!,201.994799245178
93,young,69,BUM,BUN,phonetic,0,5%,205.12704947668
93,young,70,PACIFIER,INFANT,semantic,0,3#,208.292698276447
93,young,71,WEPT,WEST,phonetic,0,5%,211.19173421475
93,young,72,RANTING,LUNATIC,semantic,0,5%,214.057407973276
93,young,73,PHYSIQUE,FITNESS,semantic,0,4$,217.556282962498
93,young,74,GLOOMY,PHANTOM,semantic,0,5%,219.822190913605
93,young,75,ARTIFACTS,DINOSAUR,semantic,0,2@,223.271038728082
93,young,76,WELT,WEST,phonetic,0,5%,225.970130182162
93,young,77,JUGGLING,MAGICIAN,semantic,0,1!,228.752539146793
93,young,78,TEAM,TEAL,phonetic,0,2@,232.867813681616
93,young,79,COT,COP,phonetic,0,4$,235.666883909056
